https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
PIPE,PS-4,#REF!,"6,907",0,0,0,"6,907",,"3,454",,,,"3,454",,,,0,,,,0,,,
FITTING,C93,#REF!,"12,246",0,0,0,"12,246",,"6,123",,,,"6,123",,,,0,,,,0,,,
FITTING,C272N,#REF!,"4,360",0,0,0,"4,360",,"2,180",,,,"2,180",,,,0,,,,0,,,
FITTINGs,C102,#REF!,"6,966",0,0,0,"6,966",,"3,483",,,,"3,483",,,,0,,,,0,,,
FITTING,C274,#REF!,822,0,0,0,822,,411,,,,0,,,,411,,,,0,,,
FITTING,C73,#REF!,"3,853",0,0,0,"3,853",,"2,100",,,,0,,,,0,,,,"1,753",,,
FITTING,C25L,#REF!,929,0,0,0,929,,465,,,,465,,,,0,,,,0,,,
FITTING,C526,#REF!,"1,518",0,0,0,"1,518",,759,,,,0,,,,0,,,,759,,,
FITTING,CM31,#REF!,58,0,0,0,58,,30,,,,0,,,,28,,,,0,,,
FITTING,C103,#REF!,"10,086",0,0,0,"10,086",,"5,350",,,,0,,,,"4,736",,,,0,,,
FITTING,C842,#REF!,"2,106",0,0,0,"2,106",,"1,300",,,,806,,,,0,,,,0,,,
FITTING,C36,#REF!,434,0,0,0,434,,217,,,,217,,,,0,,,,0,,,
FITTING,C65,#REF!,"4,654",0,0,0,"4,654",,"2,327",,,,"2,327",,,,0,,,,0,,,
FITTING,C44,#REF!,"4,232",0,0,0,"4,232",,"4,232",,,,0,,,,0,,,,0,,,
FITTING,C74,#REF!,991,0,0,0,991,,496,,,,496,,,,0,,,,0,,,
FITTING,C45,#REF!,"7,396",0,0,0,"7,396",,"3,698",,,,"3,698",,,,0,,,,0,,,
FITTING,CH72F,#REF!,"2,904",0,0,0,"2,904",,"1,088",,,,"1,088",,,,728,,,,0,,,
FITTINGs,C43,#REF!,"79,668",0,0,0,"79,668",,"39,834",,,,"39,834",,,,0,,,,0,,,
