https://docs.google.com/spreadsheets/d/10MLqjGDvIINGGV-AurbX0WG3Q6z4AstiZTe3sjWxdQQ/edit?gid=866519638#gid=866519638,,,,,,,,,,,,
,,,SWR,,,,,,,,AGRI,
Item Code,Plan,,Item Code,Plan,,,Item Code,Plan,,,Item Code,Plan
PW25S,0,,,,,,A467,0,,,,
PW26S,0,,,,,,A468,0,,,,
PW27S,0,,,,,,A469,0,,,,
PW28S,0,,,,,,A470,0,,,,
PW29S,0,,,,,,A471,0,,,,
PW30S,0,,,,,,A472,0,,,,
PW51S,-115,,,,,,A564,0,,,,
PW52S,0,,,,,,A565,0,,,,
PW53S,99,,,,,,A566,0,,,,
PW54S,0,,,,,,A567,0,,,,
PW55S,0,,,,,,A568,0,,,,
PW56S,0,,,,,,A569,0,,,,
PW57S,0,,,,,,A570,0,,,,
PW58S,0,,,,,,A571,0,,,,
PW59S,0,,,,,,A572,0,,,,
PW60S,0,,,,,,A661,0,,,,
5710,3726,,,,,,A662,0,,,,
5910,305,,,,,,A663,0,,,,
5110,4305,,,,,,A664,0,,,,
5610,-414,,,,,,A665,0,,,,
5712,-1688,,,,,,A666,0,,,,
5912,-246,,,,,,A667,0,,,,
5112,550,,,,,,A668,0,,,,
5612,-61,,,,,,A669,0,,,,
5715,-428,,,,,,A670,0,,,,
5115,-5,,,,,,A671,0,,,,
5722,-3300,,,,,,A672,0,,,,
5922,-359,,,,,,A761,0,,,,
5122,-1468,,,,,,A762,0,,,,
5622,-60,,,,,,A763,0,,,,
5732,-196,,,,,,A764,0,,,,
5132,-153,,,,,,A765,0,,,,
5734,-16,,,,,,A766,0,,,,
5934,-1144,,,,,,A767,0,,,,
5134,-893,,,,,,A768,0,,,,
5634,-48,,,,,,A769,0,,,,
5711,2434,,,,,,A770,0,,,,
5911,511,,,,,,EWS 45,0,,,,
5111,5622,,,,,,A-246,511,,,,
5611,135,,,,,,A-247,1676,,,,
5714,-493,,,,,,A-248,225,,,,
5114,-73,,,,,,A-249,-537,,,,
5721,-2278,,,,,,A-242,-103,,,,
5921,-3,,,,,,A-243,-3,,,,
5121,-15,,,,,,A-346,-661,,,,
5621,-78,,,,,,A-347,801,,,,
5731,-204,,,,,,A-348,1163,,,,
5131,-382,,,,,,A-349,1268,,,,
5733,-434,,,,,,A-342,-37,,,,
5933,319,,,,,,A-343,-13,,,,
5133,2784,,,,,,A-446,1609,,,,
