https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 2!B17:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col20,Col21,Col22,Col23,Col24",,,,,,,,"26,951",0,0,0,"23,925",0,0,0,898,0,0,0,"1,027",0,0,0,591,0,0,0
ITEM CODE,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
144-QR,"1,202","1,202",0,0,0,144-QR-,144-QR,"1,202",0,0,0,"1,202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-VP,273,273,0,0,0,144-VP-,144-VP,273,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-SR,108,108,0,0,0,145-SR-,145-SR,108,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-NR,339,339,0,0,0,130-NR-,130-NR,339,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-NW,42,42,0,0,0,145-NW-,145-NW,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124-NR,"1,113","1,113",0,0,0,124-NR-,124-NR,"1,113",0,0,0,"1,113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-QG,12,12,0,0,0,130-QG-,130-QG,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-RW,6,6,0,0,0,129-RW-,129-RW,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-IR,18,18,0,0,0,1375-IR-,1375-IR,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-UR,42,42,0,0,0,1375-UR-,1375-UR,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
