https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
FITTING,U74,#REF!,155,0,0,0,155,,155,,,,0,,,,0,,,,0,,,
FITTING,U243,#REF!,252,0,0,0,252,,252,,,,0,,,,0,,,,0,,,
FITTING,UH86,#REF!,576,0,0,0,576,,288,,,,288,,,,0,,,,0,,,
FITTING,U831,#REF!,"3,562",0,0,0,"3,562",,"1,781",,,,0,,,,"1,781",,,,0,,,
FITTING,U524,#REF!,116,0,0,0,116,,116,,,,0,,,,0,,,,0,,,
FITTING,U55,#REF!,"9,462",0,0,0,"9,462",,"4,731",,,,"4,731",,,,0,,,,0,,,
FITTING,U93,#REF!,"5,815",0,0,0,"5,815",,"2,908",,,,"2,908",,,,0,,,,0,,,
FITTING,U95,#REF!,"1,124",0,0,0,"1,124",,562,,,,562,,,,0,,,,0,,,
FITTING,U841,#REF!,4,0,0,0,4,,4,,,,0,,,,0,,,,0,,,
FITTING,U44,#REF!,"16,088",0,0,0,"16,088",,"8,044",,,,"8,044",,,,0,,,,0,,,
FITTING,U310,#REF!,320,0,0,0,320,,160,,,,0,,,,0,,,,160,,,
FITTING,U324,#REF!,75,0,0,0,75,,75,,,,0,,,,0,,,,0,,,
FITTING,U92,#REF!,"5,722",0,0,0,"5,722",,"2,861",,,,"2,861",,,,0,,,,0,,,
PIPE,PU-3T,#REF!,672,0,0,0,672,,336,,,,336,,,,0,,,,0,,,
FITTING,UH86-S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,UH82-S,#REF!,16,0,0,0,16,,16,,,,0,,,,0,,,,0,,,
FITTING,U532,#REF!,"13,026",0,0,0,"13,026",,"6,513",,,,"6,513",,,,0,,,,0,,,
FITTING,U505,#REF!,"1,356",0,0,0,"1,356",,678,,,,0,,,,0,,,,678,,,
FITTING,U852,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,U272N,#REF!,816,0,0,0,816,,816,,,,0,,,,0,,,,0,,,
FITTING,U865,#REF!,834,0,0,0,834,,417,,,,417,,,,0,,,,0,,,
FITTING,U843,#REF!,"6,646",0,0,0,"6,646",,"3,323",,,,"3,323",,,,0,,,,0,,,
PIPE,PU-1T,#REF!,304,0,0,0,304,,152,,,,152,,,,0,,,,0,,,
FITTING,U66,#REF!,"1,752",0,0,0,"1,752",,876,,,,876,,,,0,,,,0,,,
FITTING,U538,#REF!,360,0,0,0,360,,180,,,,180,,,,0,,,,0,,,
FITTING,U50,#REF!,"5,946",0,0,0,"5,946",,"2,973",,,,"2,973",,,,0,,,,0,,,
FITTING,U25-L,#REF!,490,0,0,0,490,,245,,,,0,,,,0,,,,245,,,
FITTING,U931,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
