category,item_code,normalized_code,issued_demand,mrp_series,on_prayag_tab
Faucets & Jetsprays & Shower,PTA-25,PTA-25,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,PTA-27,PTA-27,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,PTA-32,PTA-32,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,PTA-34,PTA-34,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,PTA-44,PTA-44,0.0,(not in current MRP product rows),False
Faucets & Jetsprays & Shower,PTA-9,PTA-9,0.0,(not in current MRP product rows),False
Accessorise,493-W,493-W,321.67,Showers & Accessories,False
Accessorise,PTA-14,PTA-14,247.67,(not in current MRP product rows),False
Accessorise,PTA-18,PTA-18,172.0,(not in current MRP product rows),False
Accessorise,PTA-15,PTA-15,140.0,(not in current MRP product rows),False
Accessorise,PTA-12,PTA-12,53.0,(not in current MRP product rows),False
Accessorise,PTA-3,PTA-3,31.33,(not in current MRP product rows),False
Accessorise,492-W,492-W,28.33,Showers & Accessories,False
Accessorise,PTA-13,PTA-13,22.67,(not in current MRP product rows),False
Accessorise,PTA-1,PTA-1,19.33,(not in current MRP product rows),False
Accessorise,111-H,111-H,0.0,(not in current MRP product rows),False
Accessorise,111-WH,111-WH,0.0,(not in current MRP product rows),False
Accessorise,118-W,118-W,0.0,(not in current MRP product rows),False
Accessorise,126-I,126-I,0.0,(not in current MRP product rows),False
Accessorise,128 X,128 X,0.0,(not in current MRP product rows),False
Accessorise,1281,1281,0.0,(not in current MRP product rows),False
Accessorise,190-C,190-C,0.0,(not in current MRP product rows),False
Accessorise,191-C,191-C,0.0,(not in current MRP product rows),False
Accessorise,193,193,0.0,(not in current MRP product rows),False
Accessorise,195-C,195-C,0.0,(not in current MRP product rows),False
Accessorise,196-IV,196-IV,0.0,(not in current MRP product rows),False
Accessorise,BEA-44A,BEA-44A,0.0,(not in current MRP product rows),False
Accessorise,BEA-47A,BEA-47A,0.0,(not in current MRP product rows),False
Accessorise,BEA-47AB,BEA-47AB,0.0,(not in current MRP product rows),False
Accessorise,PP-01,PP-01,0.0,(not in current MRP product rows),False
Accessorise,PP-02,PP-02,0.0,(not in current MRP product rows),False
Accessorise,PTA-17,PTA-17,0.0,(not in current MRP product rows),False
Accessorise,PTA-2,PTA-2,0.0,(not in current MRP product rows),False
Accessorise,PTA-4,PTA-4,0.0,(not in current MRP product rows),False
Accessorise,PTA-5,PTA-5,0.0,(not in current MRP product rows),False
Accessorise,PTA-6,PTA-6,0.0,(not in current MRP product rows),False
Accessorise,PTA-7,PTA-7,0.0,(not in current MRP product rows),False
Cistern & Seat Cover,513-EWC,513-EWC,846.67,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-78,PTA-78,242.0,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-71,PTA-71,155.0,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-73,PTA-73,89.33,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-84,PTA-84,61.67,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-79,PTA-79,60.33,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-72,PTA-72,49.67,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-80,PTA-80,44.33,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-74,PTA-74,22.33,(not in current MRP product rows),False
Cistern & Seat Cover,PTA-85,PTA-85,20.0,(not in current MRP product rows),False
