Series,Rows,Category count,Planning categories,Unmapped ranges,Range distribution
"Delta Wine Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 1; Center Hole Basin: 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Wall Mixer (135): 1; Wall Mixer (1375): 1"
"Diamond Series","30","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 3; Bib Cock Long Body (124): 2; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Concealed Stop Cock: 4; Pillar Cock (130): 1; Pillar Cock (131): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Stop Cock: 4; Wall Mixer (135): 1; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Flora Gold Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Long Body (124): 1; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Flora Peach Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Long Body (124): 1; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Flora Royal Series","14","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Long Body (124): 1; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Wall Mixer (1375): 2; Washing Machine Tap: 1"
"Flora Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Long Body (124): 1; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Flora Wine Series","13","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Long Body (124): 1; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 1; SINK COCK (133): 1; Sink Cock (132): 2; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Grand Series","24","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 3; Bib Cock Long Body (124): 2; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Concealed Stop Cock: 1; Pillar Cock (130): 1; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 1; Sink Mixer (134): 1; Stop Cock: 3; Wall Mixer (135): 1; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Helix Gold Series","27","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 3; Bib Cock Long Body (124): 2; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Concealed Stop Cock: 2; Pillar Cock (130): 1; Pillar Cock (131): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Stop Cock: 3; Wall Mixer (1375): 1; Washing Machine Tap: 1"
"Helix Peach Series","27","3","Cocks Premium | Cocks Standard | Faucets & Jetsprays & Shower","","2 Way Angle Cock (145): 1; 2 Way Bib Cock (129): 1; Angle Cock (144): 1; Bib Cock Fancy (123): 3; Bib Cock Long Body (124): 2; Bib Cock Nozzle (127): 1; Bib Cock Standard (121): 1; Center Hole Basin: 1; Concealed Stop Cock: 2; Pillar Cock (130): 1; Pillar Cock (131): 2; Pillar Cock Swan Neck (147): 2; SINK COCK (133): 1; Sink Cock (132): 2; Sink Mixer (134): 1; Stop Cock: 3; Wall Mixer (1375): 1; Washing Machine Tap: 1"
