id,item_code,colour,category,buffer_req,production_plan
420766,123-WS,WHITE,Cocks Standard,1224,288
420767,1231,BURGUNDY,Cocks Standard,0,0
420768,1231,GREEN,Cocks Standard,0,0
420769,1231,IVORY,Cocks Standard,0,0
420770,1231,M GREEN,Cocks Standard,0,0
420771,1231,PINK,Cocks Standard,0,0
420772,1231,WHITE,Cocks Standard,140,0
420773,1231-F,BURGUNDY,Cocks Standard,0,0
420774,1231-F,GREEN,Cocks Standard,0,0
420775,1231-F,IVORY,Cocks Standard,0,0
420776,1231-F,M GREEN,Cocks Standard,0,0
420777,1231-F,PINK,Cocks Standard,0,0
420778,1231-F,WHITE,Cocks Standard,15.33,0
420779,1231-N,BURGUNDY,Cocks Standard,0,0
420780,1231-N,GREEN,Cocks Standard,0,0
420781,1231-N,IVORY,Cocks Standard,0,0
420782,1231-N,M GREEN,Cocks Standard,0,0
420783,1231-N,PINK,Cocks Standard,0,0
420784,1231-N,WHITE,Cocks Standard,0,0
420785,1231F,,Cocks Standard,0,0
420786,124,BLUE,Cocks Standard,0,0
420787,124,BURGUNDY,Cocks Standard,0,0
420788,124,GREEN,Cocks Standard,0,0
420789,124,IVORY,Cocks Standard,4960,0
420790,124,M GREEN,Cocks Standard,0,0
420791,124,PINK,Cocks Standard,0,0
420792,124,WHITE,Cocks Standard,9815.33,3982.33
420793,124-4E,,Cocks Standard,0,0
420794,124-4U,,Cocks Standard,0,0
420795,124-A,IVORY,Cocks Standard,0,0
420796,124-A,WHITE,Cocks Standard,0,0
420797,124-AB,BLACK,Cocks Standard,0,0
420798,124-ABF,BLACK,Cocks Standard,0,0
420799,124-AF,IVORY,Cocks Standard,0,0
420800,124-AF,WHITE,Cocks Standard,0,0
420801,124-AP,IVORY,Cocks Standard,184,68
420802,124-AP,WHITE,Cocks Standard,0,0
420803,124-AS,IVORY,Cocks Standard,72,49
420804,124-AS,WHITE,Cocks Standard,87.33,0
420805,124-B,BURGUNDY,Cocks Standard,0,0
420806,124-B,GREEN,Cocks Standard,0,0
420807,124-B,IVORY,Cocks Standard,144,118
420808,124-B,M GREEN,Cocks Standard,0,0
420809,124-B,PINK,Cocks Standard,0,0
420810,124-B,WHITE,Cocks Standard,162,66
420811,124-BF,IVORY,Cocks Standard,18,63
420812,124-BF,WHITE,Cocks Standard,33.33,0
420813,124-C,BURGUNDY,Cocks Standard,0,0
420814,124-C,GREEN,Cocks Standard,0,0
420815,124-C,IVORY,Cocks Standard,0,0
420816,124-C,M GREEN,Cocks Standard,0,0
420817,124-C,PINK,Cocks Standard,0,0
420818,124-C,WHITE,Cocks Standard,2187.67,917.67
420819,124-CF,WHITE,Cocks Standard,444.67,196.67
420820,124-D,IVORY,Cocks Standard,0,0
420821,124-D,WHITE,Cocks Standard,139.33,148.33
