id,item_code,colour,category,buffer_req,production_plan
420925,124-SR,,Cocks Premium,1120.67,1460.67
420926,124-SW,,Cocks Premium,0,0
420927,124-U,BURGUNDY,Cocks Standard,0,0
420928,124-U,GREEN,Cocks Standard,0,0
420929,124-U,IVORY,Cocks Standard,0,0
420930,124-U,M GREEN,Cocks Standard,0,0
420931,124-U,PINK,Cocks Standard,0,0
420932,124-U,WHITE,Cocks Standard,149,375
420933,124-UG,,Cocks Premium,0,0
420934,124-UP,,Cocks Premium,11,0
420935,124-UR,32,Cocks Premium,81,49
420936,124-UW,,Cocks Premium,0,0
420937,124-V,BURGUNDY,Cocks Standard,0,0
420938,124-V,GREEN,Cocks Standard,0,0
420939,124-V,IVORY,Cocks Standard,0,0
420940,124-V,M GREEN,Cocks Standard,0,0
420941,124-V,PINK,Cocks Standard,0,0
420942,124-V,WHITE,Cocks Standard,0,0
420943,124-VG,,Cocks Premium,0,0
420944,124-VP,54,Cocks Premium,54,0
420945,124-VR,,Cocks Premium,54,31
420946,124-VW,,Cocks Premium,0,0
420947,124-W,IVORY,Cocks Standard,100,0
420948,124-W,WHITE,Cocks Standard,1080,1752
420949,124-WS,IVORY,Cocks Standard,0,0
420950,124-WS,WHITE,Cocks Standard,340,386
420951,1241,BURGUNDY,Cocks Standard,0,0
420952,1241,GREEN,Cocks Standard,0,0
420953,1241,IVORY,Cocks Standard,398.67,490.67
420954,1241,M GREEN,Cocks Standard,0,0
420955,1241,PINK,Cocks Standard,0,0
420956,1241,WHITE,Cocks Standard,506,0
420957,1241-F,BURGUNDY,Cocks Standard,0,0
420958,1241-F,GREEN,Cocks Standard,0,0
420959,1241-F,IVORY,Cocks Standard,0,0
420960,1241-F,M GREEN,Cocks Standard,0,0
420961,1241-F,PINK,Cocks Standard,0,0
420962,1241-F,WHITE,Cocks Standard,0.67,0
420963,125-O,BURGUNDY,Cocks Standard,0,0
420964,125-O,GREEN,Cocks Standard,0,0
420965,125-O,IVORY,Cocks Standard,2095.33,3019.33
420966,125-O,M GREEN,Cocks Standard,0,0
420967,125-O,PINK,Cocks Standard,0,0
420968,125-O,WHITE,Cocks Standard,528,887
420969,125-S,IVORY,Cocks Standard,126,105
420970,125-S,WHITE,Cocks Standard,54,0
420971,125-WS,IVORY,Cocks Standard,180,0
420972,125-WS,WHITE,Cocks Standard,252,170
420973,126,,Accessorise,0,0
420974,126,IVORY,Accessorise,43.33,43.33
420975,126,WHITE,Accessorise,83.33,83.33
420976,126-I,,Accessorise,0,0
420977,126-SQ,,Unclassified,,0
420978,126-SQ,,Unclassified,,0
420979,126-SQ,IVORY,Unclassified,,0
420980,126-SQ,PINK,Unclassified,,0
420981,126-SQ,WHITE,Unclassified,,0
420982,127,BURGUNDY,Cocks Standard,0,0
420983,127,GREEN,Cocks Standard,0,0
420984,127,IVORY,Cocks Standard,1414.67,2142.67
420985,127,M GREEN,Cocks Standard,0,0
420986,127,PINK,Cocks Standard,0,0
420987,127,WHITE,Cocks Standard,2497.33,3720.33
420988,127-7E,,Cocks Standard,0,0
420989,127-A,WHITE,Cocks Standard,22,0
420990,127-AB,,Cocks Standard,0,0
420991,127-AP,IVORY,Cocks Standard,0,0
420992,127-AP,WHITE,Cocks Standard,0,0
420993,127-AS,IVORY,Cocks Standard,132,121
420994,127-AS,WHITE,Cocks Standard,44,0
420995,127-B,BURGUNDY,Cocks Standard,0,0
420996,127-B,GREEN,Cocks Standard,0,0
420997,127-B,IVORY,Cocks Standard,88,60
420998,127-B,M GREEN,Cocks Standard,0,0
420999,127-B,PINK,Cocks Standard,0,0
421000,127-B,WHITE,Cocks Standard,44,0
421001,127-C,BURGUNDY,Cocks Standard,0,0
421002,127-C,GREEN,Cocks Standard,0,0
421003,127-C,IVORY,Cocks Standard,0,0
421004,127-C,M GREEN,Cocks Standard,0,0
421005,127-C,PINK,Cocks Standard,0,0
421006,127-C,WHITE,Cocks Standard,990,1559
421007,127-D,WHITE,Cocks Standard,11,29
421008,127-DB,BLACK,Cocks Standard,99,308
421009,127-DG,,Cocks Standard,0,0
421010,127-DP,PEACH,Cocks Standard,13,0
421011,127-DR,R BLUE,Cocks Standard,0,0
421012,127-DW,,Cocks Standard,0,33
421013,127-E,BURGUNDY,Cocks Standard,0,0
421014,127-E,GREEN,Cocks Standard,0,0
421015,127-E,IVORY,Cocks Standard,0,0
421016,127-E,M GREEN,Cocks Standard,0,0
421017,127-E,PINK,Cocks Standard,0,0
421018,127-E,WHITE,Cocks Standard,23,0
421019,127-EB,IVORY,Cocks Standard,0,0
421020,127-EB,WHITE,Cocks Standard,198,428
421021,127-H,BURGUNDY,Cocks Standard,0,0
421022,127-H,GREEN,Cocks Standard,0,0
421023,127-H,IVORY,Cocks Standard,0,0
421024,127-H,M GREEN,Cocks Standard,0,0
421025,127-H,PINK,Cocks Standard,0,0
421026,127-H,WHITE,Cocks Standard,484,0
421027,127-HG,,Cocks Premium,22,83
421028,127-HP,,Cocks Premium,0,0
421029,127-HR,,Cocks Premium,0,0
421030,127-HW,,Cocks Premium,22,72
421031,127-K,WHITE,Cocks Standard,330,1202
421032,127-LS,WHITE,Cocks Standard,0,0
421033,127-LSB,BLUE,Cocks Standard,11,375
421034,127-O,BURGUNDY,Cocks Standard,0,0
421035,127-O,GREEN,Cocks Standard,0,0
421036,127-O,IVORY,Cocks Standard,110,281
421037,127-O,M GREEN,Cocks Standard,0,0
421038,127-O,PINK,Cocks Standard,0,0
421039,127-O,WHITE,Cocks Standard,814,698
421040,127-P,BURGUNDY,Cocks Standard,0,0
421041,127-P,GREEN,Cocks Standard,0,0
421042,127-P,IVORY,Cocks Standard,22,0
421043,127-P,M GREEN,Cocks Standard,0,0
421044,127-P,PINK,Cocks Standard,0,0
421045,127-P,WHITE,Cocks Standard,220,608
421046,127-S,BURGUNDY,Cocks Standard,0,0
421047,127-S,GREEN,Cocks Standard,0,0
421048,127-S,IVORY,Cocks Standard,81,20
421049,127-S,M GREEN,Cocks Standard,0,0
421050,127-S,PINK,Cocks Standard,0,0
421051,127-S,WHITE,Cocks Standard,154,0
421052,127-SG,,Cocks Premium,3.33,0
421053,127-SP,,Cocks Premium,0,0
421054,127-SR,,Cocks Premium,352,305
421055,127-SW,,Cocks Premium,0,0
421056,127-V,BURGUNDY,Cocks Standard,0,0
421057,127-V,GREEN,Cocks Standard,0,0
421058,127-V,IVORY,Cocks Standard,0,0
421059,127-V,M GREEN,Cocks Standard,0,0
421060,127-V,PINK,Cocks Standard,0,0
421061,127-V,WHITE,Cocks Standard,0,0
421062,127-VG,,Cocks Premium,0,0
421063,127-VP,,Cocks Premium,0,0
421064,127-VR,,Cocks Premium,0,0
421065,127-VW,,Cocks Premium,0,0
421066,128,IVORY,Accessorise,1280,1298
421067,128,PINK,Accessorise,106.67,264.67
421068,128,WHITE,Accessorise,2394,3869
421069,128 X,,Accessorise,0,0
421070,1281,,Accessorise,0,0
421071,129,BLUE,Cocks Standard,0,0
421072,129,BURGUNDY,Cocks Standard,0,0
421073,129,GREEN,Cocks Standard,8,0
421074,129,IVORY,Cocks Standard,8962.67,16237.67
421075,129,M GREEN,Cocks Standard,0,0
421076,129,PINK,Cocks Standard,168,207
421077,129,WHITE,Cocks Standard,4390,7968
421078,129-9E,,Cocks Standard,0,0
421079,129-9U,,Cocks Standard,0,0
421080,129-A,WHITE,Cocks Standard,32,95
421081,129-AB,,Cocks Standard,0,0
421082,129-AP,IVORY,Cocks Standard,104,0
421083,129-AP,WHITE,Cocks Standard,28,0
421084,129-AS,IVORY,Cocks Standard,424,891
421085,129-AS,WHITE,Cocks Standard,96,80
421086,129-B,BURGUNDY,Cocks Standard,0,0
421087,129-B,GREEN,Cocks Standard,0,0
421088,129-B,IVORY,Cocks Standard,0,0
421089,129-B,M GREEN,Cocks Standard,0,0
421090,129-B,PINK,Cocks Standard,0,0
421091,129-B,WHITE,Cocks Standard,100,46
421092,129-C,BURGUNDY,Cocks Standard,0,0
421093,129-C,GREEN,Cocks Standard,0,0
421094,129-C,IVORY,Cocks Standard,0,0
421095,129-C,M GREEN,Cocks Standard,0,0
421096,129-C,PINK,Cocks Standard,0,0
421097,129-C,WHITE,Cocks Standard,877,1754
421098,129-D,BURGUNDY,Cocks Standard,0,0
421099,129-D,GREEN,Cocks Standard,0,0
421100,129-D,IVORY,Cocks Standard,32,37
421101,129-D,M GREEN,Cocks Standard,0,0
421102,129-D,PINK,Cocks Standard,0,0
421103,129-D,WHITE,Cocks Standard,67,104
421104,129-DB,BLACK,Cocks Standard,56,117
421105,129-DG,,Cocks Premium,3.33,0
421106,129-DP,,Cocks Premium,10,0
421107,129-DR,,Cocks Premium,48,199
421108,129-DW,,Cocks Premium,0,18
421109,129-E,BURGUNDY,Cocks Standard,0,0
421110,129-E,GREEN,Cocks Standard,0,0
421111,129-E,IVORY,Cocks Standard,0,0
421112,129-E,M GREEN,Cocks Standard,0,0
421113,129-E,PINK,Cocks Standard,0,0
421114,129-E,WHITE,Cocks Standard,1,0
421115,129-EB,IVORY,Cocks Standard,0,0
421116,129-EB,WHITE,Cocks Standard,144,256
421117,129-H,BURGUNDY,Cocks Standard,0,0
421118,129-H,GREEN,Cocks Standard,0,0
421119,129-H,IVORY,Cocks Standard,96,0
421120,129-H,M GREEN,Cocks Standard,0,0
421121,129-H,PINK,Cocks Standard,0,0
421122,129-H,WHITE,Cocks Standard,552,0
421123,129-HG,,Cocks Premium,0,0
421124,129-HP,,Cocks Premium,0,0
421125,129-HR,99,Cocks Premium,104,55
421126,129-HW,,Cocks Premium,8,0
421127,129-I,IVORY,Cocks Standard,0,0
421128,129-I,WHITE,Cocks Standard,0,0
421129,129-IG,,Cocks Premium,10,9
421130,129-IP,,Cocks Premium,0,0
421131,129-IR,,Cocks Premium,0,0
421132,129-IW,,Cocks Premium,0,0
421133,129-K,WHITE,Cocks Standard,112,164
421134,129-L,WHITE,Cocks Standard,10,0
421135,129-LG,,Cocks Premium,0,0
421136,129-LP,,Cocks Premium,0,0
421137,129-LR,,Cocks Premium,0,0
421138,129-LS,WHITE,Cocks Standard,32,1
421139,129-LSB,BLUE,Cocks Standard,8,295
421140,129-LW,,Cocks Premium,10,0
421141,129-N,IVORY,Cocks Standard,0,0
421142,129-N,WHITE,Cocks Standard,32,75
421143,129-NB,,Cocks Premium,18.67,8.67
421144,129-NG,,Cocks Premium,9.33,7.33
421145,129-NP,,Cocks Premium,0,0
421146,129-NR,,Cocks Premium,46.67,0
421147,129-NW,,Cocks Premium,18.67,0
421148,129-O,BURGUNDY,Cocks Standard,0,0
421149,129-O,GREEN,Cocks Standard,0,0
421150,129-O,IVORY,Cocks Standard,64,0
421151,129-O,M GREEN,Cocks Standard,0,0
421152,129-O,PINK,Cocks Standard,0,0
421153,129-O,WHITE,Cocks Standard,456,307
421154,129-P,BURGUNDY,Cocks Standard,0,0
421155,129-P,GREEN,Cocks Standard,0,0
421156,129-P,IVORY,Cocks Standard,48,35
421157,129-P,M GREEN,Cocks Standard,0,0
421158,129-P,PINK,Cocks Standard,0,0
421159,129-P,WHITE,Cocks Standard,86,225
421160,129-PR,,Cocks Standard,0,0
421161,129-Q,BURGUNDY,Cocks Standard,0,0
421162,129-Q,GREEN,Cocks Standard,0,0
421163,129-Q,IVORY,Cocks Standard,32,0
421164,129-Q,M GREEN,Cocks Standard,0,0
421165,129-Q,PINK,Cocks Standard,0,0
421166,129-Q,WHITE,Cocks Standard,0,0
421167,129-QAB,,Cocks Standard,8,0
421168,129-QG,,Cocks Premium,24,20
421169,129-QP,,Cocks Premium,24,0
421170,129-QR,107,Cocks Premium,208,185
421171,129-QW,,Cocks Premium,0,0
421172,129-R,BURGUNDY,Cocks Standard,0,0
421173,129-R,GREEN,Cocks Standard,0,0
421174,129-R,IVORY,Cocks Standard,0,0
421175,129-R,M GREEN,Cocks Standard,0,0
421176,129-R,PINK,Cocks Standard,0,0
421177,129-R,WHITE,Cocks Standard,10,6
421178,129-RG,,Cocks Premium,30,17
421179,129-RH,,Cocks Standard,0,0
421180,129-RP,,Cocks Premium,0,0
421181,129-RR,,Cocks Premium,10,9
421182,129-RW,,Cocks Premium,0,0
421183,129-S,BURGUNDY,Cocks Standard,0,0
421184,129-S,GREEN,Cocks Standard,0,0
421185,129-S,IVORY,Cocks Standard,136,235
421186,129-S,M GREEN,Cocks Standard,0,0
421187,129-S,PINK,Cocks Standard,0,0
421188,129-S,WHITE,Cocks Standard,232,346
421189,129-SG,,Cocks Premium,17.67,0
421190,129-SP,,Cocks Premium,16,3
421191,129-SR,,Cocks Premium,340.33,499.33
421192,129-SW,,Cocks Premium,8,4
421193,129-U,BURGUNDY,Cocks Standard,0,0
421194,129-U,GREEN,Cocks Standard,0,0
421195,129-U,IVORY,Cocks Standard,0,0
421196,129-U,M GREEN,Cocks Standard,0,0
421197,129-U,PINK,Cocks Standard,0,0
421198,129-U,WHITE,Cocks Standard,24,9
421199,129-UG,,Cocks Premium,0,0
421200,129-UP,,Cocks Premium,8,0
421201,129-UR,,Cocks Premium,16,0
421202,129-UW,,Cocks Premium,0,0
421203,129-V,BURGUNDY,Cocks Standard,0,0
421204,129-V,GREEN,Cocks Standard,0,0
421205,129-V,IVORY,Cocks Standard,40,0
421206,129-V,M GREEN,Cocks Standard,0,0
421207,129-V,PINK,Cocks Standard,0,0
421208,129-V,WHITE,Cocks Standard,0,0
421209,129-VG,,Cocks Premium,0,0
421210,129-VP,14,Cocks Premium,32,14
421211,129-VR,,Cocks Premium,16,11
421212,129-VW,,Cocks Premium,0,0
421213,1291,BURGUNDY,Cocks Standard,0,0
421214,1291,GREEN,Cocks Standard,0,0
421215,1291,IVORY,Cocks Standard,72,0
421216,1291,M GREEN,Cocks Standard,0,0
421217,1291,PINK,Cocks Standard,0,0
421218,1291,WHITE,Cocks Standard,160,75
421219,129I,,Cocks Standard,0,0
421220,129QW,,Cocks Standard,0,0
421221,130,BLUE,Cocks Standard,0,0
421222,130,BURGUNDY,Cocks Standard,0,0
421223,130,GREEN,Cocks Standard,0,0
421224,130,IVORY,Cocks Standard,2421,4031
421225,130,M GREEN,Cocks Standard,0,0
421226,130,PINK,Cocks Standard,66,0
421227,130,WHITE,Cocks Standard,3911.67,6583.67
421228,130-0E,,Cocks Standard,0,0
421229,130-0U,,Cocks Standard,0,0
421230,130-A,WHITE,Cocks Standard,0,0
421231,130-AB,,Cocks Standard,0,0
421232,130-AP,IVORY,Cocks Standard,10,0
421233,130-AP,WHITE,Cocks Standard,0,0
421234,130-AS,IVORY,Cocks Standard,200,373
421235,130-AS,WHITE,Cocks Standard,90,71
421236,130-B,BURGUNDY,Cocks Standard,0,0
421237,130-B,GREEN,Cocks Standard,0,0
421238,130-B,IVORY,Cocks Standard,50,22
421239,130-B,M GREEN,Cocks Standard,0,0
421240,130-B,PINK,Cocks Standard,0,0
421241,130-B,WHITE,Cocks Standard,130,211
421242,130-C,BURGUNDY,Cocks Standard,0,0
421243,130-C,GREEN,Cocks Standard,0,0
421244,130-C,IVORY,Cocks Standard,0,0
421245,130-C,M GREEN,Cocks Standard,0,0
421246,130-C,PINK,Cocks Standard,0,0
421247,130-C,WHITE,Cocks Standard,286,115
421248,130-D,BURGUNDY,Cocks Standard,0,0
421249,130-D,GREEN,Cocks Standard,0,0
421250,130-D,IVORY,Cocks Standard,40,70
421251,130-D,M GREEN,Cocks Standard,0,0
421252,130-D,PINK,Cocks Standard,0,0
421253,130-D,WHITE,Cocks Standard,54,93
421254,130-DB,BLACK,Cocks Standard,110,77
421255,130-DG,,Cocks Premium,3.33,3.33
421256,130-DP,,Cocks Premium,10,0
421257,130-DR,,Cocks Premium,70,309
421258,130-DW,,Cocks Premium,0,12
421259,130-E,BURGUNDY,Cocks Standard,0,0
421260,130-E,GREEN,Cocks Standard,0,0
421261,130-E,IVORY,Cocks Standard,0,0
421262,130-E,M GREEN,Cocks Standard,0,0
421263,130-E,PINK,Cocks Standard,0,0
421264,130-E,WHITE,Cocks Standard,275.33,534.33
421265,130-EB,IVORY,Cocks Standard,0,0
421266,130-EB,WHITE,Cocks Standard,250,619
421267,130-H,BURGUNDY,Cocks Standard,0,0
421268,130-H,GREEN,Cocks Standard,0,0
421269,130-H,IVORY,Cocks Standard,0,0
421270,130-H,M GREEN,Cocks Standard,0,0
421271,130-H,PINK,Cocks Standard,0,0
421272,130-H,WHITE,Cocks Standard,22,0
421273,130-HG,,Cocks Premium,0,0
421274,130-HP,,Cocks Premium,0,0
421275,130-HR,,Cocks Premium,88,86
421276,130-HW,,Cocks Premium,22,0
421277,130-I,IVORY,Cocks Standard,0,0
421278,130-I,WHITE,Cocks Standard,143,110
421279,130-I N,,Cocks Standard,0,0
421280,130-IG,,Cocks Premium,11,0
421281,130-IP,,Cocks Premium,22,0
421282,130-IR,,Cocks Premium,11,0
421283,130-IW,,Cocks Premium,0,0
421284,130-K,WHITE,Cocks Standard,0,0
421285,130-L,WHITE,Cocks Standard,55,25
421286,130-LG,,Cocks Premium,0,0
421287,130-LP,,Cocks Premium,0,0
421288,130-LR,,Cocks Premium,0,0
421289,130-LS,WHITE,Cocks Standard,0,0
421290,130-LSB,BLUE,Cocks Standard,10,238
421291,130-LW,,Cocks Premium,11,0
421292,130-N,IVORY,Cocks Standard,0,0
421293,130-N,WHITE,Cocks Standard,50,168
421294,130-NB,,Cocks Premium,10,39
421295,130-NG,,Cocks Premium,0.33,0
421296,130-NP,,Cocks Premium,10,0
421297,130-NR,,Cocks Premium,30,0
421298,130-NW,,Cocks Premium,20,18
421299,130-O,BURGUNDY,Cocks Standard,0,0
421300,130-O,GREEN,Cocks Standard,0,0
421301,130-O,IVORY,Cocks Standard,120,0
421302,130-O,M GREEN,Cocks Standard,0,0
421303,130-O,PINK,Cocks Standard,0,0
421304,130-O,WHITE,Cocks Standard,1200,1618
421305,130-P,BURGUNDY,Cocks Standard,0,0
421306,130-P,GREEN,Cocks Standard,0,0
421307,130-P,IVORY,Cocks Standard,3.33,0
421308,130-P,M GREEN,Cocks Standard,0,0
421309,130-P,PINK,Cocks Standard,0,0
421310,130-P,WHITE,Cocks Standard,50,68
421311,130-Q,BURGUNDY,Cocks Standard,0,0
421312,130-Q,GREEN,Cocks Standard,0,0
421313,130-Q,IVORY,Cocks Standard,200,303
421314,130-Q,M GREEN,Cocks Standard,0,0
421315,130-Q,PINK,Cocks Standard,0,0
421316,130-Q,WHITE,Cocks Standard,220,236
421317,130-QAB,,Cocks Standard,0,0
421318,130-QG,,Cocks Premium,0,0
421319,130-QP,,Cocks Premium,50,62
421320,130-QR,36,Cocks Premium,239.33,294.33
421321,130-QW,,Cocks Premium,0,0
421322,130-R,BURGUNDY,Cocks Standard,0,0
421323,130-R,GREEN,Cocks Standard,0,0
421324,130-R,IVORY,Cocks Standard,44,14
421325,130-R,M GREEN,Cocks Standard,0,0
421326,130-R,PINK,Cocks Standard,0,0
421327,130-R,WHITE,Cocks Standard,11,0
421328,130-RG,,Cocks Premium,54,21
421329,130-RN,34,Unclassified,,0
421330,130-RN,IVORY,Unclassified,,0
421331,130-RN,WHITE,Unclassified,,0
421332,130-RNG,,Cocks Premium,0,0
421333,130-RNP,,Cocks Premium,0,0
421334,130-RNR,,Cocks Premium,0,0
421335,130-RNW,,Cocks Premium,0,0
421336,130-RP,,Cocks Premium,0,0
421337,130-RR,,Cocks Premium,0,0
421338,130-RW,,Cocks Premium,0,0
421339,130-S,BURGUNDY,Cocks Standard,0,0
421340,130-S,GREEN,Cocks Standard,0,0
421341,130-S,IVORY,Cocks Standard,100,138
421342,130-S,M GREEN,Cocks Standard,0,0
421343,130-S,PINK,Cocks Standard,0,0
421344,130-S,WHITE,Cocks Standard,180,100
421345,130-SG,,Cocks Premium,21.67,0
421346,130-SP,,Cocks Premium,110,227
421347,130-SR,,Cocks Premium,331,671
421348,130-SW,,Cocks Premium,0,0
421349,130-U,BURGUNDY,Cocks Standard,0,0
421350,130-U,GREEN,Cocks Standard,0,0
421351,130-U,IVORY,Cocks Standard,0,0
421352,130-U,M GREEN,Cocks Standard,0,0
421353,130-U,PINK,Cocks Standard,0,0
421354,130-U,WHITE,Cocks Standard,90,264
421355,130-UG,,Cocks Premium,0,0
421356,130-UP,30,Cocks Premium,10,0
421357,130-UR,13,Cocks Premium,50,19
421358,130-UW,,Cocks Premium,10,0
421359,130-V,BURGUNDY,Cocks Standard,0,0
421360,130-V,GREEN,Cocks Standard,0,0
421361,130-V,IVORY,Cocks Standard,10,0
421362,130-V,M GREEN,Cocks Standard,0,0
421363,130-V,PINK,Cocks Standard,0,0
421364,130-V,WHITE,Cocks Standard,0,0
421365,130-VG,,Cocks Premium,40,25
421366,130-VP,60,Cocks Premium,80,38
421367,130-VR,,Cocks Premium,10,0
421368,130-VW,,Cocks Premium,0,0
421369,130C,,Cocks Standard,0,0
421370,131,BURGUNDY,Cocks Standard,0,0
421371,131,GREEN,Cocks Standard,0,0
421372,131,IVORY,Cocks Standard,408.33,491.33
421373,131,M GREEN,Cocks Standard,0,0
421374,131,PINK,Cocks Standard,0,0
421375,131,WHITE,Cocks Standard,1130,1509
421376,131-A,IVORY,Cocks Standard,0,0
421377,131-A,WHITE,Cocks Standard,50,33
421378,131-AB,,Cocks Standard,0,0
421379,131-B,,Cocks Standard,0,0
421380,131-C,BURGUNDY,Cocks Standard,0,0
421381,131-C,GREEN,Cocks Standard,0,0
421382,131-C,IVORY,Cocks Standard,0,0
421383,131-C,M GREEN,Cocks Standard,0,0
421384,131-C,PINK,Cocks Standard,0,0
421385,131-C,WHITE,Cocks Standard,285,548
421386,131-D,IVORY,Cocks Standard,0,58
421387,131-DB,BLACK,Cocks Standard,0,83
421388,131-DG,,Cocks Standard,0,0
421389,131-DP,PEACH,Cocks Standard,0,20
421390,131-DR,R BLUE,Cocks Standard,0,44
421391,131-DW,,Cocks Standard,0,10
421392,131-F,,Cocks Standard,0,0
421393,131-G,,Cocks Standard,0,0
421394,131-H,BURGUNDY,Cocks Standard,0,0
421395,131-H,GREEN,Cocks Standard,0,0
421396,131-H,IVORY,Cocks Standard,0,0
421397,131-H,M GREEN,Cocks Standard,0,0
421398,131-H,PINK,Cocks Standard,0,0
421399,131-H,WHITE,Cocks Standard,240,171
421400,131-HG,,Cocks Premium,0,0
421401,131-HP,,Cocks Premium,0,0
421402,131-HR,,Cocks Premium,10,0
421403,131-HW,,Cocks Premium,0,0
421404,131-I,IVORY,Cocks Standard,0,0
421405,131-I,WHITE,Cocks Standard,0,0
421406,131-IG,,Cocks Premium,0,0
421407,131-IP,,Cocks Premium,0,0
421408,131-IR,,Cocks Premium,0,0
421409,131-IW,,Cocks Premium,0,0
421410,131-K,WHITE,Cocks Standard,0,0
421411,131-L,WHITE,Cocks Standard,0,0
421412,131-LG,,Cocks Premium,0,0
421413,131-LP,,Cocks Premium,0,0
421414,131-LR,,Cocks Premium,0,0
421415,131-LS,WHITE,Cocks Standard,0,0
421416,131-LSB,BLUE,Cocks Standard,0,341
421417,131-LW,,Cocks Premium,0,0
421418,131-N,BURGUNDY,Cocks Standard,0,0
421419,131-N,GREEN,Cocks Standard,0,0
421420,131-N,IVORY,Cocks Standard,590,657
421421,131-N,M GREEN,Cocks Standard,0,0
421422,131-N,PINK,Cocks Standard,0,0
421423,131-N,WHITE,Cocks Standard,300,215
421424,131-NP,BURGUNDY,Cocks Standard,0,0
421425,131-NP,GREEN,Cocks Standard,0,0
421426,131-NP,IVORY,Cocks Standard,0,0
421427,131-NP,M GREEN,Cocks Standard,0,0
421428,131-NP,PINK,Cocks Standard,0,0
421429,131-NP,WHITE,Cocks Standard,0,0
421430,131-O,BURGUNDY,Cocks Standard,0,0
421431,131-O,GREEN,Cocks Standard,0,0
421432,131-O,IVORY,Cocks Standard,0,0
421433,131-O,M GREEN,Cocks Standard,0,0
421434,131-O,PINK,Cocks Standard,0,0
421435,131-O,WHITE,Cocks Standard,90,0
421436,131-P,BURGUNDY,Cocks Standard,0,0
421437,131-P,GREEN,Cocks Standard,0,0
421438,131-P,IVORY,Cocks Standard,0,0
421439,131-P,M GREEN,Cocks Standard,0,0
421440,131-P,PINK,Cocks Standard,0,0
421441,131-P,WHITE,Cocks Standard,62,180
421442,131-PR,,Cocks Standard,0,0
421443,131-S,,Cocks Standard,0,0
421444,131-W,,Cocks Standard,0,0
421445,1311,BURGUNDY,Cocks Standard,0,0
421446,1311,GREEN,Cocks Standard,0,0
421447,1311,IVORY,Cocks Standard,90,134
421448,1311,M GREEN,Cocks Standard,0,0
421449,1311,PINK,Cocks Standard,0,0
421450,1311,WHITE,Cocks Standard,140,168
421451,1311-C,BURGUNDY,Cocks Standard,0,0
421452,1311-C,GREEN,Cocks Standard,0,0
421453,1311-C,IVORY,Cocks Standard,0,0
421454,1311-C,M GREEN,Cocks Standard,0,0
421455,1311-C,PINK,Cocks Standard,0,0
421456,1311-C,WHITE,Cocks Standard,450.33,1012.33
421457,1311-H,BURGUNDY,Cocks Standard,0,0
421458,1311-H,GREEN,Cocks Standard,0,0
421459,1311-H,IVORY,Cocks Standard,40,0
421460,1311-H,M GREEN,Cocks Standard,0,0
421461,1311-H,PINK,Cocks Standard,0,0
421462,1311-H,WHITE,Cocks Standard,160,0
421463,1311-HG,,Cocks Premium,0,0
421464,1311-HP,,Cocks Premium,0,0
421465,1311-HR,,Cocks Premium,10,15
421466,1311-HW,,Cocks Premium,0,0
421467,1311-K,WHITE,Cocks Standard,120,146
421468,1311-N,BURGUNDY,Cocks Standard,0,0
421469,1311-N,GREEN,Cocks Standard,0,0
421470,1311-N,IVORY,Cocks Standard,0,0
421471,1311-N,M GREEN,Cocks Standard,0,0
421472,1311-N,PINK,Cocks Standard,0,0
421473,1311-N,WHITE,Cocks Standard,98.33,0
421474,1311-W,,Cocks Standard,0,0
421475,132,BURGUNDY,Cocks Standard,0,0
421476,132,GREEN,Cocks Standard,0,0
421477,132,IVORY,Cocks Standard,1495,2662
421478,132,M GREEN,Cocks Standard,0,0
421479,132,PINK,Cocks Standard,0,0
421480,132,WHITE,Cocks Standard,1428.67,1655.67
421481,132-2E,,Cocks Standard,0,0
421482,132-2U,,Cocks Standard,0,0
421483,132-A,IVORY,Cocks Standard,0,0
421484,132-A,WHITE,Cocks Standard,0,0
421485,132-AB,,Cocks Standard,0,0
421486,132-AP,IVORY,Cocks Standard,0,0
421487,132-AP,WHITE,Cocks Standard,0,0
421488,132-AS,IVORY,Cocks Standard,17.33,15.33
421489,132-AS,WHITE,Cocks Standard,52,23
421490,132-B,BURGUNDY,Cocks Standard,0,0
421491,132-B,GREEN,Cocks Standard,0,0
421492,132-B,IVORY,Cocks Standard,17.33,0
421493,132-B,M GREEN,Cocks Standard,0,0
421494,132-B,PINK,Cocks Standard,0,0
421495,132-B,WHITE,Cocks Standard,69.33,91.33
421496,132-C,BURGUNDY,Cocks Standard,0,0
421497,132-C,GREEN,Cocks Standard,0,0
421498,132-C,IVORY,Cocks Standard,0,0
421499,132-C,M GREEN,Cocks Standard,0,0
421500,132-C,PINK,Cocks Standard,0,0
421501,132-C,WHITE,Cocks Standard,780.33,1207.33
421502,132-D,BURGUNDY,Cocks Standard,0,0
421503,132-D,GREEN,Cocks Standard,0,0
421504,132-D,IVORY,Cocks Standard,13,0
421505,132-D,M GREEN,Cocks Standard,0,0
421506,132-D,PINK,Cocks Standard,0,0
421507,132-D,WHITE,Cocks Standard,13,0
421508,132-DB,BLACK,Cocks Standard,34.67,0
421509,132-DG,,Cocks Premium,0,0
421510,132-DP,,Cocks Premium,10.67,10.67
421511,132-DR,,Cocks Premium,82.33,236.33
421512,132-DW,,Cocks Premium,0,14
421513,132-E,BURGUNDY,Cocks Standard,0,0
421514,132-E,GREEN,Cocks Standard,0,0
