source_row,raw_item_code,canonical_item_code,item_name,segment,balance_qty,diagnostic_outcome,diagnostic_reason
3470,PP24,PP24,Ball Valve 32MM (PPR FITTINGS WHITE),PLUMBING,300,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3471,PP25,PP25,Ball Valve 40MM (PPR FITTINGS WHITE),PLUMBING,150,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3472,PG44,PG44,Coupler 32 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,400,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3473,PG43,PG43,Coupler 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,500,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3474,PG45,PG45,Coupler 40 MM (PPR FITTINGS GREEN),PL,225,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3475,PG53,PG53,Elbow 90 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,2000,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3476,PG54,PG54,Elbow 90 32 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,1100,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3477,PG55,PG55,Elbow 90? 40 MM (PPR FITTINGS GREEN),PLUMBING,650,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3478,PG63,PG63,Equal Tee 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,900,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3479,PG64,PG64,Equal Tee 32 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,650,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3480,PG65,PG65,Equal Tee 40 MM (PPR FITTINGS GREEN),PLUMBING,250,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3481,PG523,PG523,Brass Elbow 90 25x15 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,1300,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3482,PG403,PG403,Male Brass Coupling 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,500,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3483,PG513,PG513,Male Brass Elbow 90 25x15 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,150,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3484,PG33,PG33,Union 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,200,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3485,PG34,PG34,Union 32 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,150,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3486,PG35,PG35,Union 40 MM (PPR FITTINGS GREEN),PLUMBING,100,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3487,PG413,PG413,Female Brass Coupling 25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,300,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3488,PG323,PG323,Brass Tee 25x15 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,400,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3489,PG943,PG943,Reducer Coupling 32x25 MM PPR FITTINGS (Green-Black-White Single Layer),PLUMBING,200,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3490,PG954,PG954,Reducer Coupling 40x32 MM (PPR FITTINGS GREEN),PLUMBING,200,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3491,PG243,PG243,Reducer Tee 32x25 MM (PPR FITTINGS GREEN),PLUMBING,200,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3492,PG253,PG253,Reducer Tee 40x25 MM (PPR FITTINGS GREEN),PLUMBING,200,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3493,PG23,PG23,Ball Valve 25 MM (PPR FITTINGS GREEN),PLUMBING,350,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3494,PG24,PG24,Ball Valve 32 MM (PPR FITTINGS GREEN),PLUMBING,200,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3495,PG25,PG25,Ball Valve 40 MM (PPR FITTINGS GREEN),PLUMBING,100,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3563,CH86F,CH86F,25 MM FULL TURN CONCEALED VALVE MACASA,PLUMBING,32,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3564,A-429,A-429,ELBOW 90- 2.5 KG 110MM AGRI,AGRI,125,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3565,A-329,A-329,EQUAL TEE 2.5 KG 110MM AGRI,AGRI,54,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3572,PB132,PB132,COLUMN PIPE 32 MM 10 KG/CM3,PL,225,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3573,PB132B,PB132B,"1¼"" COLUMN PIPE BELLING TYPE 10KG/CM²",PLUMBING,225,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3576,UH86F,UH86F,"1""UPVC CANCELLED VALVE FULL TURN MACASA",PLUMBING,32,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3606,PB132,PB132,COLUMN PIPE 32 MM 10 KG/CM3,PL,750,NO_ROSTER_MATCH,NO_ROSTER_MATCH
3607,PB132B,PB132B,"1¼"" COLUMN PIPE BELLING TYPE 10KG/CM²",PLUMBING,750,NO_ROSTER_MATCH,NO_ROSTER_MATCH
