item_code,category,colour,segment
123-FHG,Cocks Premium,,PTMT
123-FHP,Cocks Premium,,PTMT
123-FHR,Cocks Premium,,PTMT
123-FHW,Cocks Premium,,PTMT
123-FP,Cocks Standard,BURGUNDY,PTMT
123-FP,Cocks Standard,GREEN,PTMT
123-FP,Cocks Standard,IVORY,PTMT
123-FP,Cocks Standard,M GREEN,PTMT
123-FP,Cocks Standard,PINK,PTMT
123-FP,Cocks Standard,WHITE,PTMT
123-H,Cocks Standard,BURGUNDY,PTMT
123-H,Cocks Standard,GREEN,PTMT
123-H,Cocks Standard,IVORY,PTMT
123-H,Cocks Standard,M GREEN,PTMT
123-H,Cocks Standard,PINK,PTMT
123-H,Cocks Standard,WHITE,PTMT
123-HG,Cocks Premium,,PTMT
123-HN,Cocks Premium,,PTMT
123-HNG,Cocks Premium,,PTMT
123-HNP,Cocks Premium,,PTMT
123-HNR,Cocks Premium,,PTMT
123-HNW,Cocks Premium,,PTMT
123-HP,Cocks Premium,,PTMT
123-HR,Cocks Premium,,PTMT
123-HW,Cocks Premium,,PTMT
123-I,Cocks Standard,IVORY,PTMT
123-I,Cocks Standard,WHITE,PTMT
123-IG,Cocks Premium,,PTMT
123-IP,Cocks Premium,,PTMT
123-IR,Cocks Premium,,PTMT
123-IW,Cocks Premium,,PTMT
123-K,Cocks Standard,WHITE,PTMT
123-KF,Cocks Standard,WHITE,PTMT
123-KN,Cocks Standard,WHITE,PTMT
123-L,Cocks Standard,IVORY,PTMT
123-L,Cocks Standard,WHITE,PTMT
123-LG,Cocks Premium,,PTMT
123-LP,Cocks Premium,,PTMT
123-LR,Cocks Premium,,PTMT
123-LS,Cocks Standard,WHITE,PTMT
123-LSB,Cocks Standard,BLUE,PTMT
123-LSF,Cocks Standard,IVORY,PTMT
123-LSFB,Cocks Standard,BLUE,PTMT
123-LSN,Cocks Standard,WHITE,PTMT
123-LSNB,Cocks Standard,BLUE,PTMT
123-LW,Cocks Premium,,PTMT
123-N,Cocks Standard,BURGUNDY,PTMT
123-N,Cocks Standard,GREEN,PTMT
123-N,Cocks Standard,IVORY,PTMT
123-N,Cocks Standard,M GREEN,PTMT
123-N,Cocks Standard,PINK,PTMT
123-N,Cocks Standard,WHITE,PTMT
123-NN,Cocks Standard,IVORY,PTMT
123-NN,Cocks Standard,WHITE,PTMT
123-NNB,Cocks Premium,,PTMT
123-NNG,Cocks Premium,,PTMT
123-NNP,Cocks Premium,,PTMT
123-NNR,Cocks Premium,,PTMT
123-NNW,Cocks Premium,,PTMT
123-O,Cocks Standard,BURGUNDY,PTMT
123-O,Cocks Standard,GREEN,PTMT
123-O,Cocks Standard,IVORY,PTMT
123-O,Cocks Standard,M GREEN,PTMT
123-O,Cocks Standard,PINK,PTMT
123-O,Cocks Standard,WHITE,PTMT
123-ON,Cocks Standard,BURGUNDY,PTMT
123-ON,Cocks Standard,GREEN,PTMT
123-ON,Cocks Standard,IVORY,PTMT
123-ON,Cocks Standard,M GREEN,PTMT
123-ON,Cocks Standard,PINK,PTMT
123-ON,Cocks Standard,WHITE,PTMT
123-P,Cocks Standard,BURGUNDY,PTMT
123-P,Cocks Standard,GREEN,PTMT
123-P,Cocks Standard,IVORY,PTMT
123-P,Cocks Standard,M GREEN,PTMT
123-P,Cocks Standard,PINK,PTMT
123-P,Cocks Standard,WHITE,PTMT
123-PN,Cocks Standard,BURGUNDY,PTMT
123-PN,Cocks Standard,GREEN,PTMT
123-PN,Cocks Standard,IVORY,PTMT
123-PN,Cocks Standard,M GREEN,PTMT
123-PN,Cocks Standard,PINK,PTMT
123-PN,Cocks Standard,WHITE,PTMT
123-Q,Cocks Standard,BURGUNDY,PTMT
123-Q,Cocks Standard,GREEN,PTMT
123-Q,Cocks Standard,IVORY,PTMT
123-Q,Cocks Standard,M GREEN,PTMT
123-Q,Cocks Standard,PINK,PTMT
123-Q,Cocks Standard,WHITE,PTMT
123-QG,Cocks Premium,27,PTMT
123-QP,Cocks Premium,,PTMT
123-QR,Cocks Premium,376,PTMT
123-QW,Cocks Premium,,PTMT
123-R,Cocks Standard,BURGUNDY,PTMT
123-R,Cocks Standard,GREEN,PTMT
123-R,Cocks Standard,IVORY,PTMT
123-R,Cocks Standard,M GREEN,PTMT
123-R,Cocks Standard,PINK,PTMT
123-R,Cocks Standard,WHITE,PTMT
123-RG,Cocks Premium,17,PTMT
123-RP,Cocks Premium,,PTMT
123-RR,Cocks Premium,,PTMT
123-RW,Cocks Premium,,PTMT
123-S,Cocks Standard,IVORY,PTMT
123-S,Cocks Standard,WHITE,PTMT
123-U,Cocks Standard,BURGUNDY,PTMT
123-U,Cocks Standard,GREEN,PTMT
123-U,Cocks Standard,IVORY,PTMT
123-U,Cocks Standard,M GREEN,PTMT
123-U,Cocks Standard,PINK,PTMT
123-U,Cocks Standard,WHITE,PTMT
123-UG,Cocks Premium,,PTMT
123-UP,Cocks Premium,,PTMT
123-UR,Cocks Premium,88,PTMT
123-UW,Cocks Premium,,PTMT
123-WS,Cocks Standard,IVORY,PTMT
123-WS,Cocks Standard,WHITE,PTMT
1231,Cocks Standard,BURGUNDY,PTMT
1231,Cocks Standard,GREEN,PTMT
1231,Cocks Standard,IVORY,PTMT
1231,Cocks Standard,M GREEN,PTMT
1231,Cocks Standard,PINK,PTMT
1231,Cocks Standard,WHITE,PTMT
1231-F,Cocks Standard,BURGUNDY,PTMT
