id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
419135,121-S,M GREEN,0,0,0,0
419136,121-S,PINK,0,0,0,0
419137,121-S,WHITE,648,8337,0,0
419138,121-SG,,6.67,14,0,0
419139,121-SP,,396,0,0,460
419140,121-SR,,2225.67,1425,0,0
419141,121-SW,,0,110,0,0
419142,121-V,BURGUNDY,0,0,0,0
419143,121-V,GREEN,0,0,0,0
419144,121-V,IVORY,216,186,0,0
419145,121-V,M GREEN,0,0,0,0
419146,121-V,PINK,0,0,0,0
419147,121-V,WHITE,0,213,0,0
419148,121-VG,,0,62,0,0
419149,121-VP,,396,0,0,252
419150,121-VR,,108,100,0,0
419151,121-VW,,0,38,0,0
419152,121-W,,0,0,0,0
419153,122,,0,0,0,0
419154,122-O,BURGUNDY,0,0,0,0
419155,122-O,GREEN,0,0,0,0
419156,122-O,IVORY,0,74,0,0
419157,122-O,M GREEN,0,0,0,0
419158,122-O,PINK,0,0,0,0
419159,122-O,WHITE,0,348,0,0
419160,123,BLUE,20,74,0,0
419161,123,BURGUNDY,0,0,0,0
419162,123,GREEN,0,0,0,0
419163,123,IVORY,12491.67,3652,0,0
419164,123,M GREEN,0,0,0,0
419165,123,PINK,180,155,0,0
419166,123,WHITE,3876.67,9876,0,0
419167,123-3E,,0,0,0,0
419168,123-3U,,0,0,0,0
419169,123-A,IVORY,0,111,0,0
419170,123-A,WHITE,20,38,0,0
419171,123-AB,BLACK,0,64,0,0
419172,123-ABF,BLACK,0,64,0,0
419173,123-ABN,,0,0,0,0
419174,123-AF,IVORY,0,135,0,0
419175,123-AF,WHITE,61.33,21,0,0
419176,123-AN,WHITE,0,0,0,0
419177,123-B,,0,0,0,0
419178,123-C,BURGUNDY,0,0,0,0
419179,123-C,GREEN,0,0,0,0
419180,123-C,IVORY,0,69,0,0
419181,123-C,M GREEN,0,0,0,0
419182,123-C,PINK,0,0,0,0
419183,123-C,WHITE,1361.67,643,0,0
419184,123-CF,BURGUNDY,0,0,0,0
419185,123-CF,GREEN,0,0,0,0
419186,123-CF,IVORY,0,57,0,0
419187,123-CF,M GREEN,0,0,0,0
419188,123-CF,PINK,0,0,0,0
419189,123-CF,WHITE,546,15,0,0
419190,123-CN,BURGUNDY,0,0,0,0
419191,123-CN,GREEN,0,0,0,0
419192,123-CN,IVORY,0,0,0,0
419193,123-CN,M GREEN,0,0,0,0
419194,123-CN,PINK,0,0,0,0
419195,123-CN,WHITE,0,75,0,0
419196,123-D,BURGUNDY,0,0,0,0
419197,123-D,GREEN,0,0,0,0
419198,123-D,IVORY,44,168,0,0
419199,123-D,M GREEN,0,0,0,0
419200,123-D,PINK,0,0,0,0
419201,123-D,WHITE,44,13,33,0
419202,123-DB,BLACK,308,0,0,256
