item_code,colour,category,issued_demand
DB-02,WHITE,Accessorise,797.67
DB-02 L,,Accessorise,0
DB-04,IVORY,Accessorise,0
DB-04,WHITE,Accessorise,0
DF-01,,Accessorise,0
DF-01,IVORY,Accessorise,0
DF-01,WHITE,Accessorise,23.33
EPT-01,,Accessorise,386.67
H-1,IVORY,Accessorise,0
H-1,WHITE,Accessorise,0
H-2,IVORY,Accessorise,0
H-2,WHITE,Accessorise,0
H-3,IVORY,Accessorise,0
H-3,WHITE,Accessorise,0
H-4,IVORY,Accessorise,0
H-4,WHITE,Accessorise,0
H-5,IVORY,Accessorise,0
H-5,WHITE,Accessorise,0
LB-01,IVORY,Accessorise,0
LB-01,WHITE,Accessorise,1462.33
LF-152,,Accessorise,240.67
LF-153,,Accessorise,554
LF-154,,Accessorise,241.33
LF-155,,Accessorise,553.33
LF-156,,Accessorise,275.33
LFP-156,,Accessorise,0
PD-18,IVORY,Accessorise,0
PD-18,WHITE,Accessorise,20.67
PH-1,,Accessorise,0
PH-2,,Accessorise,150
PI-18,IVORY,Accessorise,0
PI-18,WHITE,Accessorise,0
PP-01,,Accessorise,0
PP-02,,Accessorise,0
PQ-18,IVORY,Accessorise,0
PQ-18,WHITE,Accessorise,114
PR-18,IVORY,Accessorise,0
PR-18,WHITE,Accessorise,40.67
PTA-1,,Accessorise,19.33
PTA-12,,Accessorise,53
PTA-13,,Accessorise,22.67
PTA-14,,Accessorise,247.67
PTA-15,,Accessorise,140
PTA-17,,Accessorise,0
PTA-18,,Accessorise,172
PTA-2,,Accessorise,0
PTA-3,,Accessorise,31.33
PTA-4,,Accessorise,0
PTA-5,,Accessorise,0
PTA-6,,Accessorise,0
PTA-7,,Accessorise,0
SB-01,WHITE,Accessorise,33.33
SF-01,,Accessorise,0
SP-02,IVORY,Accessorise,0
SP-02,WHITE,Accessorise,510
151,GOLD,Ball Cock,13360
151-S,GOLD,Ball Cock,5597
151L,,Ball Cock,0
152,GOLD,Ball Cock,8968
153,GOLD,Ball Cock,7090.33
153-S,,Ball Cock,0
153-S,GOLD,Ball Cock,0
154,GOLD,Ball Cock,659
155,GOLD,Ball Cock,958
156,GOLD,Ball Cock,1150.33
161,GOLD,Ball Cock,0
162,GOLD,Ball Cock,0
163,,Ball Cock,136.33
163,GOLD,Ball Cock,3852
164,GOLD,Ball Cock,81
165,,Ball Cock,16
165,GOLD,Ball Cock,641.33
166,GOLD,Ball Cock,758
167,,Ball Cock,437.33
167,SILVER,Ball Cock,0
168,,Ball Cock,70
168,SILVER,Ball Cock,0
169,,Ball Cock,166.67
169,SILVER,Ball Cock,0
170,,Ball Cock,10
170,SILVER,Ball Cock,0
171,,Ball Cock,3.33
171,SILVER,Ball Cock,0
172,,Ball Cock,0
172,SILVER,Ball Cock,0
173,BLUE,Ball Cock,0
173,GREEN,Ball Cock,8421.33
174,BLUE,Ball Cock,0
174,GREEN,Ball Cock,0
175,BLUE,Ball Cock,0
175,GREEN,Ball Cock,3778.67
177,BLUE,Ball Cock,0
177,GREEN,Ball Cock,860.33
178,BLUE,Ball Cock,0
178,GREEN,Ball Cock,867.33
B-151,,Ball Cock,0
B-152,,Ball Cock,0
B-153,,Ball Cock,0
B-161,,Ball Cock,0
B-162,,Ball Cock,0
B-163,,Ball Cock,0
B-167,,Ball Cock,0
B-168,,Ball Cock,0
B-169,,Ball Cock,0
B-173,,Ball Cock,0
B-174,,Ball Cock,0
B-175,,Ball Cock,0
I-151,,Ball Cock,12
I-152,,Ball Cock,28.33
I-153,,Ball Cock,6.67
I-155,,Ball Cock,5
I-161,,Ball Cock,0
I-162,,Ball Cock,0
I-163,,Ball Cock,0
I-164,,Ball Cock,0
I-167,,Ball Cock,0
I-168,,Ball Cock,0
I-169,,Ball Cock,0
I-171,-,Ball Cock,0
I-173,-,Ball Cock,0
I-174,-,Ball Cock,0
I-175,-,Ball Cock,0
I-177,-,Ball Cock,0
N-151,,Ball Cock,0
N-152,,Ball Cock,0
N-153,,Ball Cock,0
PTA-53,,Ball Cock,230.67
PTA-54,,Ball Cock,1358
PTA-55,,Ball Cock,75.33
PTA-56,,Ball Cock,0
PTA-57,,Ball Cock,0
PTA-58,,Ball Cock,0
550-F,,Cabinet,0
551,IVORY,Cabinet,0
551,WHITE,Cabinet,520
551-F,,Cabinet,0
551-F,IVORY,Cabinet,0
551-F,WHITE,Cabinet,0
553,,Cabinet,0
553,IVORY,Cabinet,0
553,WHITE,Cabinet,0
553-F,,Cabinet,0
553-F,IVORY,Cabinet,0
