date,code,qty
2026-08-10,C25TR,3500
2026-08-10,C273TC,1000
2026-08-10,C323,2796
2026-08-10,C45,6000
2026-08-10,PN29C,610
2026-08-10,PP1,6000
2026-08-10,PS-13,1200
2026-08-10,PS-3,2640
2026-08-10,PU-11S,1340
2026-08-10,PU-4,1280
2026-08-10,PW11,1020
2026-08-10,U273TCN,1220
2026-08-10,U323,1000
2026-08-10,U33M,2420
2026-08-10,U33P,1500
2026-08-10,U42,4200
2026-08-10,U53,3500
2026-08-10,U535,1030
2026-08-10,U55,1380
2026-08-10,U821,7500
2026-08-10,U831,2000
2026-08-10,U843,1000
2026-08-11,30003388,832
2026-08-11,5110,625
2026-08-11,5111,900
2026-08-11,5133,525
2026-08-11,5161,432
2026-08-11,5612,336
2026-08-11,5664,1050
2026-08-11,5711,1440
2026-08-11,5733,80
2026-08-11,A-31C,90
2026-08-11,A-48C,400
2026-08-11,A-49C,110
2026-08-11,A264,2400
2026-08-11,A349,375
2026-08-11,A567,400
2026-08-11,AS449,700
2026-08-11,C12,800
2026-08-11,C232,195
2026-08-11,C23BD,1800
2026-08-11,C273TC,450
2026-08-11,C320,150
2026-08-11,C330,180
2026-08-11,C33F,3400
2026-08-11,C45,2150
2026-08-11,C502,100
2026-08-11,C52,6400
2026-08-11,C53,995
2026-08-11,C532,275
2026-08-11,C602,200
2026-08-11,C603,100
2026-08-11,C62,1000
2026-08-11,C72,275
2026-08-11,C920,393
2026-08-11,C932,250
2026-08-11,PN29C,55
2026-08-11,PP1,12000
2026-08-11,PS-13,2640
2026-08-11,PS-3,3180
2026-08-11,PU-11S,1150
2026-08-11,PU-4,1275
2026-08-11,PW11,1150
2026-08-11,PW13S,300
2026-08-11,U323,1647
2026-08-11,U32F,700
2026-08-11,U33M,1370
2026-08-11,U42,6000
2026-08-11,U521,1000
2026-08-11,U53,4450
2026-08-11,U63,150
2026-08-11,U843,2110
2026-08-11,U85,210
2026-08-11,U930,1200
2026-08-12,30003388,210
2026-08-12,5110,450
2026-08-12,5111,960
2026-08-12,5133,405
2026-08-12,5612S,216
2026-08-12,5634S,20
2026-08-12,5711,240
2026-08-12,5733,600
2026-08-12,5762,600
2026-08-12,A-31C,190
2026-08-12,A-48C,135
2026-08-12,A567,2000
2026-08-12,AS449,125
2026-08-12,C12,40
2026-08-12,C23BD,1400
2026-08-12,C23TR,9500
2026-08-12,C273CN,450
2026-08-12,C273TCN,1100
2026-08-12,C33F,800
2026-08-12,C52,14400
2026-08-12,C702,4000
2026-08-12,PS-13,2160
2026-08-12,PS-3,2640
2026-08-12,PU-11,2800
2026-08-12,PU-4,330
2026-08-12,PW11,1530
2026-08-12,PW93S,220
2026-08-12,U330,600
2026-08-12,U42,6050
2026-08-12,U502,750
2026-08-12,U51,6000
2026-08-12,U52,2000
2026-08-12,U521,3500
2026-08-12,U63,3900
2026-08-12,U73,850
2026-08-12,U85,510
2026-08-12,U920,1650
2026-08-12,U930,811
2026-08-12,U932,1575
2026-08-13,A-29C,160
2026-08-13,A-31C,85
2026-08-13,A-82C,900
2026-08-13,PS-13,1680
2026-08-13,PS-3,2700
2026-08-13,PU-13,1820
2026-08-13,PW11,1470
2026-08-13,PW13S,315
2026-08-13,PW91,515
2026-08-13,PW93S,145
