"itemCode","colour","category","material","unfeasiblePieces","dummyPieces","orderPieces","bufferPieces","route","bomSourceStatus","currentSourceWeightKg","currentSourceRawRows","julySnapshot","augustSnapshot"
"PB132","","Unclassified","Unclassified","1770","570","1200","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"A-469","","AGRI Fitting","AGRI","1631.21","435","24","1172.21","route present","positive source weight","0.533","3","missing/zero frozen weight","missing/zero frozen weight"
"CH72F","","CPVC Fitting","CPVC","1399.8","352","0","1047.8","route present","positive source weight","0.0689","3","missing/zero frozen weight","missing/zero frozen weight"
"PW12","","SWR Pipe","SWR","1357.07","444","0","913.07","route present","positive source weight","3.8","3","missing/zero frozen weight","missing/zero frozen weight"
"PG523","","Unclassified","Unclassified","1300","0","1300","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PP523","","Unclassified","Unclassified","1285","0","1285","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"P20W03","","Unclassified","Unclassified","1200","0","1200","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"5106","","Unclassified","Unclassified","1134","1134","0","0","no route in active local pool","positive source weight","0.076","2","missing/zero frozen weight","not in snapshot"
"PB132B","","Unclassified","Unclassified","1125","150","975","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PC22","","CPVC Fitting","CPVC","1116.2","0","0","1116.2","route present","present but zero/blank source weight","","2","not in snapshot","missing/zero frozen weight"
"PG54","","Unclassified","Unclassified","1100","0","1100","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
"PC24","","CPVC Fitting","CPVC","1092.32","233","0","859.32","route present","present but zero/blank source weight","","2","not in snapshot","missing/zero frozen weight"
"PW78","","SWR Pipe","SWR","1090","435","0","655","route present","positive source weight","1.44","3","missing/zero frozen weight","missing/zero frozen weight"
"A-569","","AGRI Fitting","AGRI","1044","409","0","635","route present","positive source weight","0.218","3","missing/zero frozen weight","missing/zero frozen weight"
"A-364","","AGRI Fitting","AGRI","994.21","0","0","994.21","route present","positive source weight","0.0789","3","missing/zero frozen weight","missing/zero frozen weight"
"PW91","","SWR Pipe","SWR","979.24","188","0","791.24","route present","positive source weight","2.6","3","missing/zero frozen weight","missing/zero frozen weight"
"P20G03","","Unclassified","Unclassified","900","0","900","0","no route in active local pool","absent from current source","","0","not in snapshot","not in snapshot"
