"item code","item name","category","material","pieces unfeasible","DUMMY","ORDERS","BUFFER","has machine route"
"PW79","","SWR Pipe","SWR","250.09","68","0","182.09","yes"
"PG65","Unmapped pending item","Unclassified","Unclassified","250","0","250","0","no"
"PW13","","SWR Pipe","SWR","247.77","160","0","87.77","yes"
"PW77","","SWR Pipe","SWR","239.4","0","0","239.4","yes"
"PG45","Unmapped pending item","Unclassified","Unclassified","225","0","225","0","no"
"A-767","","AGRI Fitting","AGRI","223.14","0","0","223.14","yes"
"PG24","Unmapped pending item","Unclassified","Unclassified","200","0","200","0","no"
"PG243","Unmapped pending item","Unclassified","Unclassified","200","0","200","0","no"
"PG253","Unmapped pending item","Unclassified","Unclassified","200","0","200","0","no"
"PG33","Unmapped pending item","Unclassified","Unclassified","200","0","200","0","no"
"PG943","Unmapped pending item","Unclassified","Unclassified","200","0","200","0","no"
"PG954","Unmapped pending item","Unclassified","Unclassified","200","0","200","0","no"
"PW19","","SWR Pipe","SWR","191.37","25","0","166.37","yes"
"A-721","50X63 MMREDUCER BUSH 4 KG/CM2","Unclassified","Unclassified","190","190","0","0","no"
"PW20","","SWR Pipe","SWR","187.77","100","0","87.77","yes"
"CH80F","","CPVC Fitting","CPVC","184.28","64","0","120.28","yes"
"PP34","Unmapped pending item","Unclassified","Unclassified","180","0","180","0","no"
"A-770","","AGRI Fitting","AGRI","169.83","6","0","163.83","yes"
"CH82F","3/4"" CPVC TRIANGLE CONCEALED VALVE","Unclassified","Unclassified","160","160","0","0","no"
"PW73","","SWR Pipe","SWR","155.5","90","0","65.5","yes"
"PG34","Unmapped pending item","Unclassified","Unclassified","150","0","150","0","no"
"PG513","Unmapped pending item","Unclassified","Unclassified","150","0","150","0","no"
"PP25","Unmapped pending item","Unclassified","Unclassified","150","0","150","0","no"
"PP35","Unmapped pending item","Unclassified","Unclassified","150","0","150","0","no"
"RL03","","SWR Fitting","SWR","138.71","0","0","138.71","yes"
"CM26","","CPVC Fitting","CPVC","125","32","0","93","yes"
"PW62","","SWR Pipe","SWR","115.85","70","0","45.85","yes"
"PW80","","SWR Pipe","SWR","115.5","50","0","65.5","yes"
"PG25","Unmapped pending item","Unclassified","Unclassified","100","0","100","0","no"
"PG35","Unmapped pending item","Unclassified","Unclassified","100","0","100","0","no"
"A-271","","AGRI Fitting","AGRI","78.77","14","0","64.77","yes"
"CH24","","CPVC Fitting","CPVC","74.8","50","0","24.8","yes"
"CH80QS","","CPVC Fitting","CPVC","73.68","34","0","39.68","yes"
"MHC-08"," / MANHOLE COVER 600 X 600","Unclassified","Unclassified","73","43","30","0","no"
"PW14","","SWR Pipe","SWR","72.27","50","0","22.27","yes"
"AS-428","AGRI EQUAL ELBOW 90","Unclassified","Unclassified","66","66","0","0","no"
"CM31","","CPVC Fitting","CPVC","65.08","0","0","65.08","yes"
"PW63","","SWR Pipe","SWR","60.27","38","0","22.27","yes"
"AS-446","AGRI ELBOW 90⁰ 63","Unclassified","Unclassified","60","60","0","0","no"
"A-471","","AGRI Fitting","AGRI","59.09","0","0","59.09","yes"
"A-669","","AGRI Fitting","AGRI","56.13","32","0","24.13","yes"
"A-428","AGRI EQUAL ELBOW 90 (2.5 Kg","Unclassified","Unclassified","51","51","0","0","no"
"S45","250 ML TIN PVC SOLVENT CEMENT","Unclassified","Unclassified","48","48","0","0","no"
"CH22","","CPVC Fitting","CPVC","45.88","0","0","45.88","yes"
"CH78QS","","CPVC Fitting","CPVC","45.72","0","0","45.72","yes"
"PP413"," / 25""x1/2"" Female brass coupling","Unclassified","Unclassified","41","0","41","0","no"
"CH72QS","","CPVC Fitting","CPVC","39.68","0","0","39.68","yes"
"A-703","BUSH 4KG, 75X50MM, AGRI","Unclassified","Unclassified","38","38","0","0","no"
"CH82","25MM CANCELLED VALVE QUARTER TURN.WITH TRIANGLE HANDLE","Unclassified","Unclassified","32","32","0","0","no"
"UH86F","Unmapped pending item","Unclassified","Unclassified","32","0","32","0","no"
"A-672","","AGRI Fitting","AGRI","30.74","0","0","30.74","yes"
"5143","","SWR Fitting","SWR","30.01","20","0","10.01","yes"
"PW93","","SWR Pipe","SWR","27.9","0","0","27.9","yes"
"WCT-3LL-10","WATER COOL TANK 3 LAYER LIGHT 1000 LTR.","Unclassified","Unclassified","25","25","0","0","no"
"PW97","","SWR Pipe","SWR","23.17","14","0","9.17","yes"
"CH84","25MM CANCELLED VALVE QUARTER TURN.WITH GREACIA-HANDLE","Unclassified","Unclassified","23","23","0","0","no"
