id,run_id,cat_no,colour,qty
609,6,701,BLUE,0
610,6,701,PINK,0
611,6,513,WHITE,0
612,6,667,WHITE,24
613,6,3272-C,WHITE,0
614,6,151-S,GOLD,0
615,6,152,GOLD,0
616,6,187-P,PEACH,10
617,6,3272,WHITE,0
618,6,187,WHITE,0
619,6,183,PINK,112
620,6,123-NNR,R BLUE,54
621,6,129-NR,R BLUE,28
622,6,1322-NR,R BLUE,30
623,6,147-NR,R BLUE,30
624,6,144-NR,R BLUE,66
625,6,123-DR,R BLUE,66
626,6,144-DR,R BLUE,132
627,6,130-DR,R BLUE,30
628,6,187-R,R BLUE,22
629,6,183-R,R BLUE,14
630,6,1813-C,PINK,0
631,6,128,WHITE,0
632,6,129,WHITE,0
633,6,129,PINK,0
634,6,130,PINK,0
635,6,132,WHITE,0
636,6,143,WHITE,0
637,6,145,WHITE,0
638,6,145,PINK,0
639,6,147,WHITE,0
640,6,183,WHITE,0
641,6,120-WS,WHITE,0
642,6,1375-S,WHITE,0
643,6,123,PINK,0
644,6,187,PINK,0
645,6,121-O,PINK,0
646,6,324,PINK,0
647,6,123,WHITE,0
648,6,144,WHITE,0
649,6,187,WHITE,0
650,6,121-O,WHITE,0
651,6,123-NNB,DARK BLUE,108
652,6,124-NB,DARK BLUE,66
653,6,132-NB,DARK BLUE,26
654,6,133-NB,DARK BLUE,13
655,6,123-QP,PEACH,66
656,6,124-QP,PEACH,66
657,6,132-QP,PEACH,30
658,6,133-QP,PEACH,13
659,6,187-R,R BLUE,22
660,6,187,WHITE,0
661,6,1815-C,WHITE,0
662,6,1817-C,WHITE,0
663,6,P-121,GREY,0
664,6,P-124,GREY,0
665,6,P-144,GREY,0
666,6,123-U,WHITE,33
667,6,120-WS,WHITE,0
668,6,153,GOLD,0
669,6,188,WHITE,0
670,6,124-SR,R BLUE,54
671,6,121-SR,R BLUE,108
672,6,QD-34,WHITE,30
673,6,QD-35,WHITE,30
674,6,QD-20,WHITE,210
675,6,QD-24,,30
676,6,150-U,WHITE,28
677,6,123-U,WHITE,66
