id,run_id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
231,1,C15,,106.67,0,0,11
232,1,C887,,10,76,0,0
233,1,C898,,0,100,0,0
234,1,CH22,,33.33,0,0,100
235,1,CM31,,30.33,0,0,17
236,1,CM32,,146.67,0,0,425
237,1,CM33,,0,39,0,0
238,1,CM34,,0,75,0,0
239,1,S3,,2562,57,0,0
240,1,EWS04,,0,88,0,0
241,1,EWS05,,0,168,0,0
242,1,PU-1,,470,8783,0,0
243,1,PU-2,,83.33,525,0,0
244,1,PU-3,,410,450,0,0
245,1,PU-4,,30,0,0,90
246,1,PU-5,,40,163,0,0
247,1,PU-6,,8,972,0,0
248,1,PU-7,,8.33,298,0,0
249,1,PU-8,,6.67,0,0,20
250,1,PU-9,,3.33,32,0,0
251,1,PU-10,,1.67,0,0,4
252,1,PU-11,,6060,990,0,0
253,1,PU-12,,4583.33,5225,0,0
254,1,PU-13,,15566.67,1651,0,0
255,1,PU-14,,1395,1455,0,0
256,1,PU-15,,1340,550,0,0
257,1,PU-16,,146.67,0,0,72
258,1,PU-17,,16.67,350,0,0
259,1,PU-18,,26.67,380,0,0
260,1,PU-19,,1.33,257,0,0
261,1,PU-20,,0,6,0,0
262,1,PU-1S,,160,361,0,0
263,1,PU-2S,,383.33,250,0,0
264,1,PU-3S,,393.33,100,0,0
265,1,PU-4S,,65,225,0,0
266,1,PU-5S,,80,0,0,140
267,1,PU-6S,,82.67,16,0,0
268,1,PU-7S,,0,167,0,0
269,1,PU-8S,,0,24,0,0
270,1,PU-9S,,0,181,0,0
271,1,PU-11S,,1138.33,20,0,0
272,1,PU-12S,,1966.67,0,0,750
273,1,PU-13S,,3113.33,0,0,3220
274,1,PU-14S,,715,2430,0,0
275,1,PU-15S,,163.33,0,0,80
276,1,PU-16S,,50.67,0,0,16
277,1,PU-17S,,3.33,80,0,0
278,1,PU-18S,,2.67,124,0,0
279,1,PU-19S,,0,66,0,0
280,1,PU-2TS,,0,50,0,0
281,1,PU-4TS,,0,135,0,0
282,1,PU-1T,,150,28,0,0
283,1,PU-2T,,16.67,1375,0,0
284,1,PU-3T,,213.33,980,0,0
285,1,PU-4T,,1025,0,0,2175
286,1,PU-5T,,0,860,0,0
287,1,U11,,533.33,0,0,272
288,1,U12,,606.67,0,0,159
289,1,U13,,560,0,0,190
290,1,U121,,108.33,0,0,325
291,1,U122,,58.33,1005,0,0
292,1,U123,,41.67,1720,0,0
293,1,U21,,733.33,0,0,203
294,1,U22,,337.33,849,0,0
295,1,U23,,1234.67,0,0,814
296,1,U24,,157.67,1030,0,0
297,1,U25,,176.67,208,0,0
298,1,U26,,46.67,62,0,0
299,1,U21-L,,2433.33,0,0,2807
300,1,U22-L,,2073.33,144,0,0
301,1,U23-L,,5483.33,0,0,3300
302,1,U24-L,,980,694,0,0
303,1,U25-L,,360,65,0,0
304,1,U26-L,,78.33,394,0,0
305,1,U21T,,648,0,0,533
306,1,U22T,,226.67,673,0,0
307,1,U23T,,273.33,1435,0,0
308,1,U24T,,9.33,0,0,28
309,1,U21T L,,0,300,0,0
310,1,U22TL,,0,400,0,0
311,1,U23TL,,0,440,0,0
312,1,U22N,,113.33,1612,0,0
313,1,U23N,,480,0,0,160
314,1,U24N,,65.33,197,0,0
315,1,U25N,,21.33,808,0,0
316,1,U26N,,0,30,0,0
317,1,U22NL,,1156.67,0,0,1690
318,1,U23NL,,1993.33,0,0,3280
319,1,U24NL,,660,0,0,486
320,1,U25NL,,346.67,0,0,600
321,1,U26NL,,40,15,0,0
322,1,U31,,1066.67,0,0,132
323,1,U32,,1283.33,0,0,620
324,1,U33,,6068,0,0,3679
325,1,U34,,828.33,762,0,0
326,1,U35,,496.67,0,0,313
327,1,U36,,68.33,366,0,0
328,1,U41,,10566.67,8052,0,0
329,1,U42,,12716.67,0,0,8669
330,1,U43,,26326.67,0,0,16452
331,1,U44,,2333.33,16,0,0
332,1,U45,,3012,0,0,547
333,1,U46,,560,0,0,172
334,1,U47,,18.33,0,0,13
335,1,U48,,42,10,0,0
336,1,U49,,10,0,0,10
337,1,U50,,1503.33,4457,0,0
338,1,U51,,22805,0,0,17645
339,1,U52,,28033.33,0,0,9026
340,1,U53,,54110,0,0,28865
341,1,U54,,5836.67,0,0,910
342,1,U55,,3000,0,0,1990
343,1,U56,,516.67,0,0,250
344,1,U57,,15,182,0,0
345,1,U58,,56.67,56,0,0
346,1,U59,,3.33,173,0,0
347,1,U61,,7850,7131,0,0
348,1,U62,,6466.67,3925,0,0
349,1,U63,,15891.67,131,0,0
350,1,U64,,1880,0,0,1093
351,1,U65,,943.33,0,0,583
352,1,U66,,320,894,0,0
353,1,U67,,13.33,451,0,0
354,1,U68,,26,0,0,8
355,1,U69,,4,90,0,0
356,1,U70,,675,2911,0,0
357,1,U71,,2800,0,0,2020
358,1,U72,,900,290,0,0
359,1,U73,,1838,0,0,1075
360,1,U74,,193.33,395,0,0
361,1,U75,,226.67,39,0,0
362,1,U76,,15,294,0,0
363,1,U81,,2916.67,0,0,2275
364,1,U82,,283.33,675,0,0
365,1,U83,,641.67,0,0,904
366,1,U84,,153.33,0,0,82
367,1,U85,,43.33,0,0,49
368,1,U86,,21.67,55,0,0
369,1,U89,,466.67,325,0,0
370,1,U90,,233.33,0,0,210
371,1,U91,,1766.67,0,0,17
372,1,U92,,1000,139,0,0
373,1,U93,,3833.33,0,0,5363
374,1,U94,,180,1495,0,0
375,1,U95,,580,0,0,129
376,1,U96,,106.67,457,0,0
377,1,U97,,20,438,0,0
378,1,U98,,0,110,0,0
379,1,U99,,0,109,0,0
380,1,U101,,2933.33,0,0,1993
381,1,U102,,1383.33,838,0,0
382,1,U103,,6683.33,0,0,6175
383,1,U104,,96.67,215,0,0
384,1,U105,,80,114,0,0
385,1,U106,,130,317,0,0
386,1,U107,,0,60,0,0
387,1,U108,,0,273,0,0
388,1,U109,,0,81,0,0
389,1,U221,,600,1061,0,0
390,1,U231,,2366.67,0,0,896
391,1,U232,,1850,0,0,2254
392,1,U241,,33.33,128,0,0
393,1,U242,,300,724,0,0
394,1,U251,,110,256,0,0
395,1,U253,,386.67,555,0,0
396,1,U261,,0,531,0,0
397,1,U265,,13.33,325,0,0
398,1,U272,,471.67,1543,0,0
399,1,U273,,985,0,0,102
400,1,U274,,198.33,303,0,0
401,1,U275,,348.33,58,0,0
402,1,U276,,38.33,381,0,0
403,1,U273N,,6132,0,0,5285
404,1,U274N,,793.33,1252,0,0
405,1,U275N,,465.33,0,0,94
406,1,U276N,,148.67,754,0,0
407,1,U310,,250,1090,0,0
408,1,U320,,233.33,827,0,0
409,1,U330,,133.33,90,0,0
410,1,U321,,1633.33,0,0,2363
411,1,U322,,2925,0,0,3062
412,1,U323,,2383.33,0,0,2331
413,1,U324,,116.67,0,0,125
414,1,U502,,1650,1062,0,0
415,1,U503,,4083.33,0,0,2856
416,1,U521,,8125,0,0,6634
417,1,U523,,2600,2766,0,0
418,1,U524,,175,270,0,0
419,1,U526,,6400,0,0,4045
420,1,U527,,300,97,0,0
421,1,U531,,1550,0,0,730
422,1,U532,,2950,0,0,812
423,1,U601,,2133.33,2617,0,0
424,1,U602,,2033.33,1372,0,0
425,1,U603,,2516.67,400,0,0
426,1,U604,,620,2219,0,0
427,1,U605,,346.67,126,0,0
428,1,U606,,156.67,0,0,127
429,1,U607,,16.67,1023,0,0
430,1,U608,,10,289,0,0
431,1,U609,,5,94,0,0
432,1,U731,,275,0,0,207
433,1,U821,,1600,1600,0,0
434,1,U831,,1033.33,369,0,0
435,1,U832,,2070,0,0,680
436,1,U841,,86.67,501,0,0
437,1,U842,,336.67,4400,0,0
438,1,U843,,2533.33,677,0,0
439,1,U851,,143.33,365,0,0
440,1,U853,,300,1264,0,0
441,1,U861,,0,609,0,0
442,1,U862,,0,196,0,0
443,1,U863,,70,357,0,0
444,1,U864,,143.33,0,0,150
445,1,U865,,166.67,1463,0,0
446,1,U875,,16.67,212,0,0
447,1,U876,,0,168,0,0
448,1,U886,,10,80,0,0
449,1,U896,,0,116,0,0
450,1,U897,,0,109,0,0
451,1,U920,,5553.33,0,0,3576
452,1,U921,,1500,4043,0,0
453,1,U930,,1300,0,0,202
454,1,U931,,1733.33,912,0,0
455,1,U932,,1516.67,3397,0,0
456,1,U941,,0,538,0,0
457,1,U942,,0,718,0,0
458,1,U943,,440,998,0,0
459,1,U952,,33.33,380,0,0
460,1,U953,,273.33,835,0,0
461,1,UH72,,170.67,0,0,160
462,1,UH74-S,,0,64,0,0
463,1,UH-78,,181.33,0,0,304
464,1,UH78-S,,320,0,0,640
465,1,UH-79,,74.67,20,0,0
466,1,UH-80,,74.67,14,0,0
467,1,UH80-S,,0,64,0,0
468,1,UH82-S,,0,32,0,0
469,1,UH84,,0,33,0,0
470,1,UH84-S,,0,22,0,0
471,1,UH86-S,,0,32,0,0
472,1,UH88,,42.67,49,0,0
473,1,UH89,,149.33,64,0,0
474,1,UH89-S,,0,64,0,0
475,1,UH90,,0,138,0,0
476,1,UC22,,0,48,0,0
477,1,U49N,,0,4,0,0
478,1,U852,,0,712,0,0
479,1,U854,,553.33,1047,0,0
480,1,U59N,,0,20,0,0
481,1,U14,,100,172,0,0
482,1,U252,,0,568,0,0
483,1,U262,,13.33,6,0,0
484,1,U954,,146.67,7,0,0
485,1,U504,,750,445,0,0
486,1,U39,,1.33,97,0,0
487,1,U279N,,1,45,0,0
488,1,U263,,26.67,0,0,40
489,1,UF12,,18,0,0,33
490,1,UF13,,18.67,20,0,0
491,1,UF14,,6,24,0,0
492,1,U278N,,4,138,0,0
493,1,U533,,0,1505,0,0
494,1,U534,,116.67,810,0,0
495,1,U277N,,3.33,165,0,0
496,1,U38,,4,157,0,0
497,1,U243,,833.33,0,0,802
498,1,U964,,16.67,0,0,50
499,1,U37,,6,40,0,0
500,1,U69N,,0,29,0,0
501,1,U254,,50,0,0,30
502,1,U272N,,415,474,0,0
503,1,U535,,506.67,14,0,0
504,1,U536,,0,730,0,0
505,1,U537,,0,1250,0,0
506,1,U538,,360,369,0,0
507,1,U539,,116.67,230,0,0
508,1,U505,,520,0,0,33
509,1,U506,,163.33,405,0,0
510,1,U15,,33.33,235,0,0
511,1,U340,,43.33,160,0,0
512,1,U887,,10,109,0,0
513,1,U898,,0,2,0,0
514,1,U27 L,,0,17,0,0
515,1,U28L,,0,3,0,0
516,1,U264,,26.67,0,0,40
517,1,U963,,16.67,0,0,42
518,1,S13,,1008,9816,0,0
519,1,PW11,,14761,0,0,13299
520,1,PW12,,408.33,0,0,540
521,1,PW13,,0,40,0,0
522,1,PW14,,0,61,0,0
523,1,PW15,,300.33,0,0,353
524,1,PW16,,105.33,0,0,30
525,1,PW17,,240,0,0,101
526,1,PW18,,355.67,0,0,498
527,1,PW19,,88.67,0,0,150
528,1,PW21,,383.33,0,0,226
529,1,PW23,,0,10,0,0
530,1,PW31,,106.67,0,0,18
531,1,PW32,,0,10,0,0
532,1,PW51,,70,100,0,0
533,1,PW61,,816.67,0,0,1010
534,1,PW63,,3.33,12,0,0
535,1,PW71,,9652.33,0,0,14670
536,1,PW72,,420,0,0,750
537,1,PW75,,126.67,404,0,0
538,1,PW76,,110,0,0,210
539,1,PW77,,173.33,0,0,160
540,1,PW78,,260,0,0,457
541,1,PW79,,75.33,0,0,150
542,1,PW81,,0,79,0,0
543,1,PW91,,746.67,180,0,0
544,1,PW93,,0,240,0,0
545,1,PW94,,0,38,0,0
546,1,PW95,,0,18,0,0
547,1,PW97,,0,6,0,0
548,1,PW98,,0,20,0,0
549,1,PW11S,,333.33,368,0,0
550,1,PW13S,,851.67,0,0,157
551,1,PW21S,,116.67,14,0,0
552,1,PW22S,,50,4,0,0
553,1,PW23S,,115,0,0,119
554,1,PW31S,,0,220,0,0
555,1,PW33S,,0,167,0,0
556,1,PW51S,,0,116,0,0
557,1,PW52S,,0,5,0,0
558,1,PW53S,,25,26,0,0
559,1,PW61S,,186.67,0,0,55
560,1,PW63S,,71.67,26,0,0
561,1,PW71S,,133.33,552,0,0
562,1,PW73S,,290,0,0,212
563,1,PW81S,,0,95,0,0
564,1,PW83S,,6.67,5,0,0
565,1,PW91S,,133.33,0,0,27
566,1,PW93S,,243.33,143,0,0
567,1,5110S,,2335,255,0,0
568,1,5111S,,727.67,0,0,787
569,1,5121S,,433.33,502,0,0
570,1,5133S,,300,0,0,107
571,1,5141S,,516,857,0,0
572,1,5911S,,146.67,50,0,0
573,1,5112S,,373.33,0,0,205
574,1,5122S,,0,830,0,0
575,1,5134S,,134,0,0,95
576,1,5142S,,16,228,0,0
577,1,5610S,,104.67,0,0,70
578,1,5611S,,38.67,52,0,0
579,1,5612S,,12,6,0,0
580,1,5621S,,79.33,156,0,0
581,1,5622S,,0,150,0,0
582,1,5633S,,17.33,131,0,0
583,1,5641S,,9.33,16,0,0
584,1,5642S,,1,66,0,0
585,1,5710S,,860,0,0,453
586,1,5711S,,303.33,879,0,0
587,1,5712S,,466.67,485,0,0
588,1,5721S,,513.33,428,0,0
589,1,5722S,,0,2064,0,0
590,1,5733S,,375,0,0,429
591,1,5734S,,106.67,1321,0,0
592,1,5741S,,175,182,0,0
593,1,5742S,,50,207,0,0
594,1,5910S,,866.67,0,0,1235
595,1,5912S,,70,174,0,0
596,1,5921S,,240,404,0,0
597,1,5922S,,0,388,0,0
598,1,5933S,,96.67,439,0,0
599,1,5934S,,64,0,0,35
600,1,5941S,,213.33,0,0,299
601,1,5942S,,33.33,138,0,0
602,1,5104,,1666.67,0,0,5000
603,1,5110,,8374.67,0,0,6607
604,1,5111,,14140,0,0,12268
605,1,5112,,1860,0,0,1503
606,1,5114,,60,238,0,0
607,1,5115,,60,95,0,0
608,1,5121,,6864,0,0,8432
609,1,5122,,132,495,0,0
610,1,5131,,34.67,139,0,0
