id,run_id,item_code,colour,category,buffer_req,min_production,production_plan,release_week,w1,w2,w3,w4
177,1,C864,,CPVC Fitting,190.24,0,0,,0,0,0,0
178,1,C865,,CPVC Fitting,114.8,0,0,,0,0,0,0
179,1,C876,,CPVC Fitting,4.1,0,0,,0,0,0,0
180,1,C886,,CPVC Fitting,0,0,0,,0,0,0,0
181,1,C896,,CPVC Fitting,0,0,0,,0,0,0,0
182,1,C897,,CPVC Fitting,0,0,0,,0,0,0,0
183,1,C920,,CPVC Fitting,10795.3,8776.67,18799.3,,0,0,0,0
184,1,C921,,CPVC Fitting,369,0,0,,0,0,0,0
185,1,C930,,CPVC Fitting,4950.75,3814,4739.75,,0,0,0,0
186,1,C932,,CPVC Fitting,6203.3,5043.33,7999.3,,0,0,0,0
187,1,C940,,CPVC Fitting,850.75,547.67,706.75,,0,0,0,0
188,1,C943,,CPVC Fitting,1291.5,1050,1319.5,,0,0,0,0
189,1,PC1,,CPVC Fitting,0,0,0,,0,0,0,0
190,1,PC2,,CPVC Fitting,1312,0,0,,0,0,0,0
191,1,PC3,,CPVC Fitting,615,0,0,,0,0,0,0
192,1,PP1,,CPVC Fitting,74620,15654.67,29608,,0,0,0,0
193,1,PP2,,CPVC Fitting,635.5,0,0,,0,0,0,0
194,1,CH72,,CPVC Fitting,603.52,490.67,859.52,,0,0,0,0
195,1,CH72F,,CPVC Fitting,1233.28,1002.67,2089.28,,0,0,0,0
196,1,CH72QS,,CPVC Fitting,52.48,42.67,84.48,,0,0,0,0
197,1,CH74,,CPVC Fitting,52.48,42.67,116.48,,0,0,0,0
198,1,CH74F,,CPVC Fitting,0,0,0,,0,0,0,0
199,1,CH74QS,,CPVC Fitting,0,0,0,,0,0,0,0
200,1,CH76,,CPVC Fitting,380.48,309.33,828.48,,0,0,0,0
201,1,CH76F,,CPVC Fitting,13.12,0,0,,0,0,0,0
202,1,CH76QS,,CPVC Fitting,39.36,0,0,,0,0,0,0
203,1,CH78,,CPVC Fitting,354.24,288,597.24,,0,0,0,0
204,1,CH78F,,CPVC Fitting,0,0,0,,0,0,0,0
205,1,CH78QS,,CPVC Fitting,65.6,33.33,45.6,,0,0,0,0
206,1,CH79,,CPVC Fitting,459.2,373.33,1035.2,,0,0,0,0
207,1,CH79F,,CPVC Fitting,0,0,0,,0,0,0,0
208,1,CH79QS,,CPVC Fitting,0,0,0,,0,0,0,0
209,1,CH80,,CPVC Fitting,39.36,30,37.36,,0,0,0,0
210,1,CH80F,,CPVC Fitting,93.48,76,193.48,,0,0,0,0
211,1,CH80QS,,CPVC Fitting,0,0,0,,0,0,0,0
212,1,C252,,CPVC Fitting,266.5,190.67,240.5,,0,0,0,0
213,1,C254,,CPVC Fitting,184.5,150,234.5,,0,0,0,0
214,1,C262,,CPVC Fitting,77.9,0,0,,0,0,0,0
215,1,C263,,CPVC Fitting,49.2,40,129.2,,0,0,0,0
216,1,C264,,CPVC Fitting,41,33.33,99,,0,0,0,0
217,1,C265,,CPVC Fitting,32.8,26.67,40.8,,0,0,0,0
218,1,C942,,CPVC Fitting,848.7,191,349.7,,0,0,0,0
219,1,C952,,CPVC Fitting,156.62,0,0,,0,0,0,0
220,1,C953,,CPVC Fitting,637.55,434.33,553.55,,0,0,0,0
221,1,C954,,CPVC Fitting,393.6,0,0,,0,0,0,0
222,1,C962,,CPVC Fitting,28.7,0,2.7,,0,0,0,0
223,1,C963,,CPVC Fitting,69.7,56.67,219.7,,0,0,0,0
224,1,C964,,CPVC Fitting,49.2,40,141.2,,0,0,0,0
225,1,C965,,CPVC Fitting,53.3,43.33,113.3,,0,0,0,0
226,1,C14,,CPVC Fitting,234.52,190.67,391.52,,0,0,0,0
227,1,C39,,CPVC Fitting,0,0,0,,0,0,0,0
228,1,C279N,,CPVC Fitting,0,0,0,,0,0,0,0
229,1,CF13,,CPVC Fitting,0,0,0,,0,0,0,0
230,1,CF14,,CPVC Fitting,41,20.33,28,,0,0,0,0
231,1,C15,,CPVC Fitting,131.2,106.67,142.2,,0,0,0,0
232,1,C887,,CPVC Fitting,12.3,0,0,,0,0,0,0
233,1,C898,,CPVC Fitting,0,0,0,,0,0,0,0
234,1,CH22,,CPVC Fitting,41,33.33,141,,0,0,0,0
235,1,CM31,,CPVC Fitting,37.31,30.33,54.31,,0,0,0,0
236,1,CM32,,CPVC Fitting,180.4,146.67,605.4,,0,0,0,0
237,1,CM33,,CPVC Fitting,0,0,0,,0,0,0,0
238,1,CM34,,CPVC Fitting,0,0,0,,0,0,0,0
239,1,S3,,CPVC Solvent,3330.6,2505,3273.6,,0,0,0,0
240,1,EWS04,,CPVC Solvent,0,0,0,,0,0,0,0
241,1,EWS05,,CPVC Solvent,0,0,0,,0,0,0,0
242,1,PU-1,,UPVC Pipe,606.3,0,0,,0,0,0,0
243,1,PU-2,,UPVC Pipe,107.5,0,0,,0,0,0,0
244,1,PU-3,,UPVC Pipe,528.9,0,78.9,,0,0,0,0
245,1,PU-4,,UPVC Pipe,38.7,30,128.7,,0,0,0,0
246,1,PU-5,,UPVC Pipe,51.6,0,0,,0,0,0,0
247,1,PU-6,,UPVC Pipe,10.32,0,0,,0,0,0,0
248,1,PU-7,,UPVC Pipe,10.75,0,0,,0,0,0,0
249,1,PU-8,,UPVC Pipe,8.6,6.67,28.6,,0,0,0,0
250,1,PU-9,,UPVC Pipe,4.3,0,0,,0,0,0,0
251,1,PU-10,,UPVC Pipe,2.15,1.67,6.15,,0,0,0,0
252,1,PU-11,,UPVC Pipe,7817.4,5070,6827.4,,0,0,0,0
253,1,PU-12,,UPVC Pipe,5912.5,0,687.5,,0,0,0,0
254,1,PU-13,,UPVC Pipe,20081,13915.67,18430,,0,0,0,0
255,1,PU-14,,UPVC Pipe,1799.55,0,344.55,,0,0,0,0
256,1,PU-15,,UPVC Pipe,1728.6,790,1178.6,,0,0,0,0
257,1,PU-16,,UPVC Pipe,189.2,146.67,261.2,,0,0,0,0
258,1,PU-17,,UPVC Pipe,21.5,0,0,,0,0,0,0
259,1,PU-18,,UPVC Pipe,34.4,0,0,,0,0,0,0
260,1,PU-19,,UPVC Pipe,1.72,0,0,,0,0,0,0
261,1,PU-20,,UPVC Pipe,0,0,0,,0,0,0,0
262,1,PU-1S,,UPVC Pipe,206.4,0,0,,0,0,0,0
263,1,PU-2S,,UPVC Pipe,494.5,133.33,244.5,,0,0,0,0
264,1,PU-3S,,UPVC Pipe,507.4,293.33,407.4,,0,0,0,0
265,1,PU-4S,,UPVC Pipe,83.85,0,0,,0,0,0,0
266,1,PU-5S,,UPVC Pipe,103.2,80,243.2,,0,0,0,0
267,1,PU-6S,,UPVC Pipe,106.64,66.67,90.64,,0,0,0,0
268,1,PU-7S,,UPVC Pipe,0,0,0,,0,0,0,0
269,1,PU-8S,,UPVC Pipe,0,0,0,,0,0,0,0
270,1,PU-9S,,UPVC Pipe,0,0,0,,0,0,0,0
271,1,PU-11S,,UPVC Pipe,1468.45,1118.33,1448.45,,0,0,0,0
272,1,PU-12S,,UPVC Pipe,2537,1966.67,3287,,0,0,0,0
273,1,PU-13S,,UPVC Pipe,4016.2,3113.33,7236.2,,0,0,0,0
274,1,PU-14S,,UPVC Pipe,922.35,0,0,,0,0,0,0
275,1,PU-15S,,UPVC Pipe,210.7,163.33,290.7,,0,0,0,0
276,1,PU-16S,,UPVC Pipe,65.36,50.67,81.36,,0,0,0,0
277,1,PU-17S,,UPVC Pipe,4.3,0,0,,0,0,0,0
278,1,PU-18S,,UPVC Pipe,3.44,0,0,,0,0,0,0
279,1,PU-19S,,UPVC Pipe,0,0,0,,0,0,0,0
280,1,PU-2TS,,UPVC Pipe,0,0,0,,0,0,0,0
281,1,PU-4TS,,UPVC Pipe,0,0,0,,0,0,0,0
282,1,PU-1T,,UPVC Pipe,193.5,122,165.5,,0,0,0,0
283,1,PU-2T,,UPVC Pipe,21.5,0,0,,0,0,0,0
284,1,PU-3T,,UPVC Pipe,275.2,0,0,,0,0,0,0
285,1,PU-4T,,UPVC Pipe,1322.25,1025,3497.25,,0,0,0,0
286,1,PU-5T,,UPVC Pipe,0,0,0,,0,0,0,0
287,1,U11,,UPVC Fitting,656,533.33,928,,0,0,0,0
288,1,U12,,UPVC Fitting,746.2,606.67,905.2,,0,0,0,0
289,1,U13,,UPVC Fitting,688.8,560,878.8,,0,0,0,0
290,1,U121,,UPVC Fitting,133.25,108.33,458.25,,0,0,0,0
291,1,U122,,UPVC Fitting,71.75,0,0,,0,0,0,0
292,1,U123,,UPVC Fitting,51.25,0,0,,0,0,0,0
293,1,U21,,UPVC Fitting,902,733.33,1105,,0,0,0,0
294,1,U22,,UPVC Fitting,414.92,0,0,,0,0,0,0
295,1,U23,,UPVC Fitting,1518.64,1234.67,2332.64,,0,0,0,0
296,1,U24,,UPVC Fitting,193.93,0,0,,0,0,0,0
297,1,U25,,UPVC Fitting,217.3,0,9.3,,0,0,0,0
298,1,U26,,UPVC Fitting,57.4,0,0,,0,0,0,0
299,1,U21-L,,UPVC Fitting,2993,2433.33,5800,,0,0,0,0
300,1,U22-L,,UPVC Fitting,2550.2,1929.33,2406.2,,0,0,0,0
301,1,U23-L,,UPVC Fitting,6744.5,5483.33,10044.5,,0,0,0,0
302,1,U24-L,,UPVC Fitting,1205.4,286,511.4,,0,0,0,0
303,1,U25-L,,UPVC Fitting,442.8,295,377.8,,0,0,0,0
304,1,U26-L,,UPVC Fitting,96.35,0,0,,0,0,0,0
305,1,U21T,,UPVC Fitting,797.04,648,1330.04,,0,0,0,0
306,1,U22T,,UPVC Fitting,278.8,0,0,,0,0,0,0
307,1,U23T,,UPVC Fitting,336.2,0,0,,0,0,0,0
308,1,U24T,,UPVC Fitting,11.48,9.33,39.48,,0,0,0,0
309,1,U21T L,,UPVC Fitting,0,0,0,,0,0,0,0
310,1,U22TL,,UPVC Fitting,0,0,0,,0,0,0,0
311,1,U23TL,,UPVC Fitting,0,0,0,,0,0,0,0
312,1,U22N,,UPVC Fitting,139.4,0,0,,0,0,0,0
313,1,U23N,,UPVC Fitting,590.4,480,750.4,,0,0,0,0
314,1,U24N,,UPVC Fitting,80.36,0,0,,0,0,0,0
315,1,U25N,,UPVC Fitting,26.24,0,0,,0,0,0,0
316,1,U26N,,UPVC Fitting,0,0,0,,0,0,0,0
317,1,U22NL,,UPVC Fitting,1422.7,1156.67,3112.7,,0,0,0,0
318,1,U23NL,,UPVC Fitting,2451.8,1993.33,5731.8,,0,0,0,0
319,1,U24NL,,UPVC Fitting,811.8,660,1297.8,,0,0,0,0
320,1,U25NL,,UPVC Fitting,426.4,346.67,1026.4,,0,0,0,0
321,1,U26NL,,UPVC Fitting,49.2,25,34.2,,0,0,0,0
322,1,U31,,UPVC Fitting,1312,1066.67,1444,,0,0,0,0
323,1,U32,,UPVC Fitting,1578.5,1283.33,2198.5,,0,0,0,0
324,1,U33,,UPVC Fitting,7463.64,6068,11142.64,,0,0,0,0
325,1,U34,,UPVC Fitting,1018.85,66.33,256.85,,0,0,0,0
326,1,U35,,UPVC Fitting,610.9,496.67,923.9,,0,0,0,0
327,1,U36,,UPVC Fitting,84.05,0,0,,0,0,0,0
328,1,U41,,UPVC Fitting,12997,2514.67,4945,,0,0,0,0
329,1,U42,,UPVC Fitting,15641.5,12716.67,24310.5,,0,0,0,0
330,1,U43,,UPVC Fitting,32381.8,26326.67,48833.8,,0,0,0,0
331,1,U44,,UPVC Fitting,2870,2317.33,2854,,0,0,0,0
332,1,U45,,UPVC Fitting,3704.76,3012,4251.76,,0,0,0,0
333,1,U46,,UPVC Fitting,688.8,560,860.8,,0,0,0,0
334,1,U47,,UPVC Fitting,22.55,18.33,35.55,,0,0,0,0
335,1,U48,,UPVC Fitting,51.66,32,41.66,,0,0,0,0
336,1,U49,,UPVC Fitting,12.3,10,22.3,,0,0,0,0
337,1,U50,,UPVC Fitting,1849.1,0,0,,0,0,0,0
338,1,U51,,UPVC Fitting,28050.15,22805,45695.15,,0,0,0,0
339,1,U52,,UPVC Fitting,34481,28033.33,43507,,0,0,0,0
340,1,U53,,UPVC Fitting,66555.3,54110,95420.3,,0,0,0,0
341,1,U54,,UPVC Fitting,7179.1,5836.67,8089.1,,0,0,0,0
342,1,U55,,UPVC Fitting,3690,3000,5680,,0,0,0,0
343,1,U56,,UPVC Fitting,635.5,516.67,885.5,,0,0,0,0
344,1,U57,,UPVC Fitting,18.45,0,0,,0,0,0,0
345,1,U58,,UPVC Fitting,69.7,0.67,13.7,,0,0,0,0
346,1,U59,,UPVC Fitting,4.1,0,0,,0,0,0,0
347,1,U61,,UPVC Fitting,9655.5,719,2524.5,,0,0,0,0
348,1,U62,,UPVC Fitting,7954,2541.67,4029,,0,0,0,0
349,1,U63,,UPVC Fitting,19546.75,15760.67,19415.75,,0,0,0,0
350,1,U64,,UPVC Fitting,2312.4,1880,3405.4,,0,0,0,0
351,1,U65,,UPVC Fitting,1160.3,943.33,1743.3,,0,0,0,0
352,1,U66,,UPVC Fitting,393.6,0,0,,0,0,0,0
353,1,U67,,UPVC Fitting,16.4,0,0,,0,0,0,0
354,1,U68,,UPVC Fitting,31.98,26,39.98,,0,0,0,0
355,1,U69,,UPVC Fitting,4.92,0,0,,0,0,0,0
356,1,U70,,UPVC Fitting,830.25,0,0,,0,0,0,0
357,1,U71,,UPVC Fitting,3444,2800,5464,,0,0,0,0
358,1,U72,,UPVC Fitting,1107,610,817,,0,0,0,0
359,1,U73,,UPVC Fitting,2260.74,1838,3335.74,,0,0,0,0
360,1,U74,,UPVC Fitting,237.8,0,0,,0,0,0,0
361,1,U75,,UPVC Fitting,278.8,187.67,239.8,,0,0,0,0
362,1,U76,,UPVC Fitting,18.45,0,0,,0,0,0,0
363,1,U81,,UPVC Fitting,3587.5,2916.67,5862.5,,0,0,0,0
364,1,U82,,UPVC Fitting,348.5,0,0,,0,0,0,0
365,1,U83,,UPVC Fitting,789.25,641.67,1693.25,,0,0,0,0
366,1,U84,,UPVC Fitting,188.6,153.33,270.6,,0,0,0,0
367,1,U85,,UPVC Fitting,53.3,43.33,102.3,,0,0,0,0
368,1,U86,,UPVC Fitting,26.65,0,0,,0,0,0,0
369,1,U89,,UPVC Fitting,574,141.67,249,,0,0,0,0
370,1,U90,,UPVC Fitting,287,233.33,497,,0,0,0,0
371,1,U91,,UPVC Fitting,2173,1766.67,2190,,0,0,0,0
372,1,U92,,UPVC Fitting,1230,861,1091,,0,0,0,0
373,1,U93,,UPVC Fitting,4715,3833.33,10078,,0,0,0,0
374,1,U94,,UPVC Fitting,221.4,0,0,,0,0,0,0
375,1,U95,,UPVC Fitting,713.4,580,842.4,,0,0,0,0
376,1,U96,,UPVC Fitting,131.2,0,0,,0,0,0,0
377,1,U97,,UPVC Fitting,24.6,0,0,,0,0,0,0
378,1,U98,,UPVC Fitting,0,0,0,,0,0,0,0
379,1,U99,,UPVC Fitting,0,0,0,,0,0,0,0
