id,category,item_code,colour,segment
231,Cocks Standard,123-N,IVORY,PTMT
232,Cocks Standard,123-N,M GREEN,PTMT
233,Cocks Standard,123-N,PINK,PTMT
234,Cocks Standard,123-N,WHITE,PTMT
235,Cocks Standard,123-NN,IVORY,PTMT
236,Cocks Standard,123-NN,WHITE,PTMT
237,Cocks Standard,123-O,BURGUNDY,PTMT
238,Cocks Standard,123-O,GREEN,PTMT
239,Cocks Standard,123-O,IVORY,PTMT
240,Cocks Standard,123-O,M GREEN,PTMT
241,Cocks Standard,123-O,PINK,PTMT
242,Cocks Standard,123-O,WHITE,PTMT
243,Cocks Standard,123-ON,BURGUNDY,PTMT
244,Cocks Standard,123-ON,GREEN,PTMT
245,Cocks Standard,123-ON,IVORY,PTMT
246,Cocks Standard,123-ON,M GREEN,PTMT
247,Cocks Standard,123-ON,PINK,PTMT
248,Cocks Standard,123-ON,WHITE,PTMT
249,Cocks Standard,123-P,BURGUNDY,PTMT
250,Cocks Standard,123-P,GREEN,PTMT
251,Cocks Standard,123-P,IVORY,PTMT
252,Cocks Standard,123-P,M GREEN,PTMT
253,Cocks Standard,123-P,PINK,PTMT
254,Cocks Standard,123-P,WHITE,PTMT
255,Cocks Standard,123-PN,BURGUNDY,PTMT
256,Cocks Standard,123-PN,GREEN,PTMT
257,Cocks Standard,123-PN,IVORY,PTMT
258,Cocks Standard,123-PN,M GREEN,PTMT
259,Cocks Standard,123-PN,PINK,PTMT
260,Cocks Standard,123-PN,WHITE,PTMT
261,Cocks Standard,123-Q,BURGUNDY,PTMT
262,Cocks Standard,123-Q,GREEN,PTMT
263,Cocks Standard,123-Q,IVORY,PTMT
264,Cocks Standard,123-Q,M GREEN,PTMT
265,Cocks Standard,123-Q,PINK,PTMT
266,Cocks Standard,123-Q,WHITE,PTMT
267,Cocks Standard,123-R,BURGUNDY,PTMT
268,Cocks Standard,123-R,GREEN,PTMT
269,Cocks Standard,123-R,IVORY,PTMT
270,Cocks Standard,123-R,M GREEN,PTMT
271,Cocks Standard,123-R,PINK,PTMT
272,Cocks Standard,123-R,WHITE,PTMT
273,Cocks Standard,123-S,IVORY,PTMT
274,Cocks Standard,123-S,WHITE,PTMT
275,Cocks Standard,123-U,BURGUNDY,PTMT
276,Cocks Standard,123-U,GREEN,PTMT
277,Cocks Standard,123-U,IVORY,PTMT
278,Cocks Standard,123-U,M GREEN,PTMT
279,Cocks Standard,123-U,PINK,PTMT
280,Cocks Standard,123-U,WHITE,PTMT
281,Cocks Standard,123-WS,IVORY,PTMT
282,Cocks Standard,123-WS,WHITE,PTMT
283,Cocks Standard,123.0,BURGUNDY,PTMT
284,Cocks Standard,123.0,GREEN,PTMT
