date,plant,machine,run_hours,ideal_hours,output,rejection,unit,period,segment,actual_hours,compound_type,downtime_min,downtime_reason,grain,has_oee,ideal_hours,ideal_hours_sheet,ideal_month_hours,ideal_output,ideal_rate,ideal_source,is_finishing,labour_cost,location,material,mould,output_basis,planned_output,planned_stops_min,power_cost,product,reject_count,reject_denominator,reject_unit,rejection_tracked,runhours_tracked,runner_lumps,secondary_counts,shift,shift_len_min,solar_cost,source_family,source_file,source_row,source_tab,tonnage_band,total_count,source_endpoint,source_requested_period
2025-04-24,PIPE,PIPE Pipe M/C-3,19.5,22,2961,190,kg,2025-04,Pipe,19.5,,0,,daily,false,22,0,18.51851851851852,6240,320,derived,false,0,,,,net,0,0,0,,190,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2961,/records,2025-04
2025-04-25,PIPE,PIPE Pipe M/C-3,22,22,3171,200,kg,2025-04,Pipe,22,,0,,daily,false,22,0,18.51851851851852,7040,320,derived,false,0,,,,net,0,0,0,,200,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3171,/records,2025-04
2025-04-26,PIPE,PIPE Pipe M/C-3,19,22,3037,280,kg,2025-04,Pipe,19,,0,,daily,false,22,0,18.51851851851852,6080,320,derived,false,0,,,,net,0,0,0,,280,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3037,/records,2025-04
2025-04-28,PIPE,PIPE Pipe M/C-3,16,22,2517,400,kg,2025-04,Pipe,16,,0,,daily,false,22,0,18.51851851851852,5120,320,derived,false,0,,,,net,0,0,0,,400,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2517,/records,2025-04
2025-04-29,PIPE,PIPE Pipe M/C-3,18,22,2580,450,kg,2025-04,Pipe,18,,0,,daily,false,22,0,18.51851851851852,5760,320,derived,false,0,,,,net,0,0,0,,450,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2580,/records,2025-04
2025-04-30,PIPE,PIPE Pipe M/C-3,23,22,3402,230,kg,2025-04,Pipe,23,,0,,daily,false,22,0,18.51851851851852,7360,320,derived,false,0,,,,net,0,0,0,,230,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3402,/records,2025-04
2025-04-01,PIPE,PIPE Pipe M/C-4,13,21.214285714285715,4180,550,kg,2025-04,Pipe,13,,0,,daily,false,21.214285714285715,0,17.857142857142858,4160,320,derived,false,0,,,,net,0,0,0,,550,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,4180,/records,2025-04
2025-04-02,PIPE,PIPE Pipe M/C-4,22,21.214285714285715,5890,410,kg,2025-04,Pipe,22,,0,,daily,false,21.214285714285715,0,17.857142857142858,7040,320,derived,false,0,,,,net,0,0,0,,410,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,5890,/records,2025-04
2025-04-03,PIPE,PIPE Pipe M/C-4,19,21.214285714285715,4750,740,kg,2025-04,Pipe,19,,0,,daily,false,21.214285714285715,0,17.857142857142858,6080,320,derived,false,0,,,,net,0,0,0,,740,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,4750,/records,2025-04
2025-04-04,PIPE,PIPE Pipe M/C-4,24,21.214285714285715,7600,220,kg,2025-04,Pipe,24,,0,,daily,false,21.214285714285715,0,17.857142857142858,7680,320,derived,false,0,,,,net,0,0,0,,220,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,7600,/records,2025-04
2025-04-05,PIPE,PIPE Pipe M/C-4,23,21.214285714285715,6194,390,kg,2025-04,Pipe,23,,0,,daily,false,21.214285714285715,0,17.857142857142858,7360,320,derived,false,0,,,,net,0,0,0,,390,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,6194,/records,2025-04
2025-04-06,PIPE,PIPE Pipe M/C-4,12,21.214285714285715,2660,390,kg,2025-04,Pipe,12,,0,,daily,false,21.214285714285715,0,17.857142857142858,3840,320,derived,false,0,,,,net,0,0,0,,390,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,2660,/records,2025-04
2025-04-07,PIPE,PIPE Pipe M/C-4,14,21.214285714285715,1448,430,kg,2025-04,Pipe,14,,0,,daily,false,21.214285714285715,0,17.857142857142858,4480,320,derived,false,0,,,,net,0,0,0,,430,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,1448,/records,2025-04
2025-04-08,PIPE,PIPE Pipe M/C-4,17,21.214285714285715,3723,550,kg,2025-04,Pipe,17,,0,,daily,false,21.214285714285715,0,17.857142857142858,5440,320,derived,false,0,,,,net,0,0,0,,550,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,3723,/records,2025-04
2025-04-09,PIPE,PIPE Pipe M/C-4,17,21.214285714285715,4916,630,kg,2025-04,Pipe,17,,0,,daily,false,21.214285714285715,0,17.857142857142858,5440,320,derived,false,0,,,,net,0,0,0,,630,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,4916,/records,2025-04
2025-04-10,PIPE,PIPE Pipe M/C-4,22,21.214285714285715,6612,610,kg,2025-04,Pipe,22,,0,,daily,false,21.214285714285715,0,17.857142857142858,7040,320,derived,false,0,,,,net,0,0,0,,610,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,6612,/records,2025-04
2025-04-11,PIPE,PIPE Pipe M/C-4,1,21.214285714285715,418,120,kg,2025-04,Pipe,1,,0,,daily,false,21.214285714285715,0,17.857142857142858,320,320,derived,false,0,,,,net,0,0,0,,120,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,418,/records,2025-04
2025-04-12,PIPE,PIPE Pipe M/C-4,16,21.214285714285715,4940,590,kg,2025-04,Pipe,16,,0,,daily,false,21.214285714285715,0,17.857142857142858,5120,320,derived,false,0,,,,net,0,0,0,,590,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,4940,/records,2025-04
2025-04-13,PIPE,PIPE Pipe M/C-4,3,21.214285714285715,760,400,kg,2025-04,Pipe,3,,0,,daily,false,21.214285714285715,0,17.857142857142858,960,320,derived,false,0,,,,net,0,0,0,,400,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,760,/records,2025-04
2025-04-14,PIPE,PIPE Pipe M/C-4,17,21.214285714285715,5073,670,kg,2025-04,Pipe,17,,0,,daily,false,21.214285714285715,0,17.857142857142858,5440,320,derived,false,0,,,,net,0,0,0,,670,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,5073,/records,2025-04
2025-04-15,PIPE,PIPE Pipe M/C-4,21,21.214285714285715,5852,670,kg,2025-04,Pipe,21,,0,,daily,false,21.214285714285715,0,17.857142857142858,6720,320,derived,false,0,,,,net,0,0,0,,670,0,,true,true,0,{},,0,0,Pipe,10GHWEV7pY_qcpFLmXqKwwDtmidAjL6FG0MOtAwUJ484,,Report-5,,5852,/records,2025-04
